,3fgl,3fgl-cls1,4fgldr1,4fgldr1-cls1,4fgldr2,4fgldr2-cls1,4fgldr3,4fgldr3-cls1,4fgldr4,4fgldr4-cls1
209,J0221.1+3556,FSRQ,J0221.1+3556,FSRQ,J0221.1+3556,FSRQ,J0221.1+3556,FSRQ,J0221.1+3556,FSRQ
210,J0222.1-1616,fsrq,J0222.0-1616,fsrq,J0222.0-1616,fsrq,J0222.0-1616,fsrq,J0222.0-1616,fsrq
211,J0222.6+4301,BLL,J0222.6+4302,BLL,J0222.6+4302,BLL,J0222.6+4302,BLL,J0222.6+4302,BLL
212,J0222.9-1117,bll,J0223.1-1117,bll,J0223.1-1117,bll,J0223.1-1117,bll,J0223.1-1117,bll
213,J0223.3+6820,bcu,J0223.0+6821,bll,J0223.0+6821,bll,J0223.0+6821,bll,J0223.0+6821,bll
214,J0224.1-7941,bcu,J0224.0-7941,bll,J0224.0-7941,bll,J0224.0-7941,bll,J0224.0-7941,bll
215,J0225.2-2602,bcu,J0225.1-2604,bcu,J0225.1-2604,bcu,J0225.1-2604,bcu,J0225.1-2604,bcu
216,J0226.3+0941,fsrq,J0226.5+0938,fsrq,J0226.5+0938,fsrq,J0226.5+0938,fsrq,J0226.5+0938,fsrq
217,J0226.5-4442,bcu,J0226.5-4441,bll,J0226.5-4441,bll,J0226.5-4441,bll,J0226.5-4441,bll
218,J0227.2+0201,bll,J0227.3+0201,bll,J0227.3+0201,bll,J0227.3+0201,bll,J0227.3+0201,bll
219,J0228.0+2248,bcu,J0227.8+2246,bcu,J0227.8+2246,bcu,J0227.8+2246,bcu,J0227.8+2246,bcu
220,J0228.3-5545,fsrq,J0228.3-5547,fsrq,J0228.3-5547,fsrq,J0228.3-5547,fsrq,J0228.3-5547,fsrq
221,J0228.7-3106,bcu,J0228.2-3102,bcu,J0228.2-3102,bcu,J0228.2-3102,bcu,J0228.2-3102,bcu
222,J0229.3-3643,fsrq,J0229.5-3644,fsrq,J0229.5-3644,fsrq,J0229.5-3644,fsrq,J0229.5-3644,fsrq
223,J0230.6-5757,bll,J0231.2-5754,bll,J0231.2-5754,bll,J0231.2-5754,bll,J0231.2-5754,bll
224,J0230.8+4032,fsrq,J0230.8+4032,fsrq,J0230.8+4032,fsrq,J0230.8+4032,fsrq,J0230.8+4032,fsrq
225,J0232.8+2016,bll,J0232.8+2018,bll,J0232.8+2018,bll,J0232.8+2018,bll,J0232.8+2018,bll
226,J0232.9+2606,bcu,J0232.9+2608,bll,J0232.9+2608,bll,J0232.9+2608,bll,J0232.9+2608,bll
227,J0236.7-6136,fsrq,J0236.8-6136,fsrq,J0236.8-6136,fsrq,J0236.8-6136,fsrq,J0236.8-6136,fsrq
228,J0237.5-3603,bll,J0237.6-3602,bll,J0237.6-3602,bll,J0237.6-3602,bll,J0237.6-3602,bll
229,J0237.9+2848,FSRQ,J0237.8+2848,FSRQ,J0237.8+2848,FSRQ,J0237.8+2848,FSRQ,J0237.8+2848,FSRQ
230,J0238.3-3904,bll,J0238.1-3905,bll,J0238.1-3905,bll,J0238.1-3905,bll,J0238.1-3905,bll
231,J0238.4-3117,bll,J0238.4-3116,bll,J0238.4-3116,bll,J0238.4-3116,bll,J0238.4-3116,bll
232,J0238.6+1636,BLL,J0238.6+1637,BLL,J0238.6+1637,BLL,J0238.6+1637,BLL,J0238.6+1637,BLL
233,J0240.5+6113,HMB,J0240.5+6113,HMB,J0240.5+6113,HMB,J0240.5+6113,HMB,J0240.5+6113,HMB
234,J0241.3+6542,bcu,J0241.3+6543,bll,J0241.3+6543,bll,J0241.3+6543,bll,J0241.3+6543,bll
235,J0242.3+1059,fsrq,J0242.3+1102,fsrq,J0242.3+1102,fsrq,J0242.3+1102,fsrq,J0242.3+1102,fsrq
236,J0242.7-0001,sbg,J0242.6-0000,sbg,J0242.6-0000,sbg,J0242.6-0000,sbg,J0242.6-0000,sbg
237,J0243.5+7119,bll,J0243.4+7119,bll,J0243.4+7119,bll,J0243.4+7119,bll,J0243.4+7119,bll
238,J0244.4-8224,bcu,J0250.2-8224,bcu,J0250.2-8224,bcu,J0250.2-8224,bcu,J0250.2-8224,bcu
239,J0244.8-5818,bll,J0244.6-5819,bll,J0244.6-5819,bll,J0244.6-5819,bll,J0244.6-5819,bll
240,J0245.4+2410,fsrq,J0245.4+2408,fsrq,J0245.4+2408,fsrq,J0245.4+2408,fsrq,J0245.4+2408,fsrq
241,J0245.9-4651,fsrq,J0245.9-4650,fsrq,J0245.9-4650,fsrq,J0245.9-4650,fsrq,J0245.9-4650,fsrq
242,J0248.5+4232,psr,J0248.6+4230,PSR,J0248.6+4230,PSR,J0248.6+4230,MSP,J0248.6+4230,MSP
243,J0248.5+6022,PSR,J0248.4+6021,PSR,J0248.4+6021,PSR,J0248.4+6021,PSR,J0248.4+6021,PSR
244,J0249.1+8438,bcu,J0250.6+8435,bcu,J0250.6+8435,bcu,J0250.6+8435,bcu,J0250.6+8435,bcu
245,J0250.6+1713,fsrq,J0250.6+1712,bll,J0250.6+1712,bll,J0250.6+1712,bll,J0250.6+1712,bll
246,J0250.6+5630,bcu,J0250.7+5630,bcu,J0250.7+5630,bcu,J0250.7+5630,bcu,J0250.7+5630,bcu
247,J0251.1+2603,psr,J0251.0+2605,PSR,J0251.0+2605,PSR,J0251.0+2605,MSP,J0251.0+2605,MSP
248,J0251.5-5959,fsrq,J0251.5-5958,fsrq,J0251.5-5958,fsrq,J0251.5-5958,fsrq,J0251.5-5958,fsrq
249,J0252.3+3830,fsrq,J0252.9+3834,fsrq,J0252.9+3834,fsrq,J0252.9+3834,fsrq,J0252.9+3834,fsrq
250,J0252.8-2218,fsrq,J0252.8-2219,fsrq,J0252.8-2219,fsrq,J0252.8-2219,fsrq,J0252.8-2219,fsrq
251,J0253.0-0125,bll,J0253.2-0124,bll,J0253.2-0124,bll,J0253.2-0124,bll,J0253.2-0124,bll
252,J0253.1-5438,fsrq,J0253.2-5441,fsrq,J0253.2-5441,fsrq,J0253.2-5441,fsrq,J0253.2-5441,fsrq
253,J0253.5+3216,bcu,J0253.5+3216,fsrq,J0253.5+3216,fsrq,J0253.5+3216,fsrq,J0253.5+3216,fsrq
254,J0253.8+5104,fsrq,J0253.9+5103,fsrq,J0253.9+5103,fsrq,J0253.9+5103,fsrq,J0253.9+5103,fsrq
255,J0255.8+0532,bcu,J0255.8+0534,bll,J0255.8+0534,bll,J0255.8+0534,bll,J0255.8+0534,bll
256,J0256.3+0335,bcu,J0256.3+0334,bll,J0256.3+0334,bll,J0256.3+0334,bll,J0256.3+0334,bll
257,J0257.8-1216,fsrq,J0257.9-1215,fsrq,J0257.9-1215,fsrq,J0257.9-1215,fsrq,J0257.9-1215,fsrq
258,J0258.0+2030,bll,J0258.1+2030,bll,J0258.1+2030,bll,J0258.1+2030,bll,J0258.1+2030,bll
259,J0259.5+0746,fsrq,J0259.4+0746,fsrq,J0259.4+0746,fsrq,J0259.4+0746,fsrq,J0259.4+0746,fsrq
260,J0301.4-1652,bcu,J0301.0-1652,bcu,J0301.0-1652,bll,J0301.0-1652,bll,J0301.0-1652,bll
261,J0301.8-7157,bcu,J0301.6-7155,fsrq,J0301.6-7155,fsrq,J0301.6-7155,fsrq,J0301.5-7156,fsrq
262,J0301.8-2721,bcu,J0301.9-2731,bcu,J0301.9-2731,bcu,J0301.9-2731,bcu,J0301.9-2731,bcu
263,J0302.5-7915,fsrq,J0303.3-7913,fsrq,J0303.3-7913,fsrq,J0303.3-7913,fsrq,J0303.3-7913,fsrq
264,J0303.0+3150,bcu,J0303.2+3149,bcu,J0303.2+3149,bcu,J0303.2+3149,bcu,J0303.2+3149,bcu
265,J0303.4-2407,BLL,J0303.4-2407,BLL,J0303.4-2407,BLL,J0303.4-2407,BLL,J0303.4-2407,BLL
266,J0303.6+4716,bll,J0303.6+4716,bll,J0303.6+4716,bll,J0303.6+4716,bll,J0303.6+4716,bll
267,J0303.7-6211,fsrq,J0303.6-6211,fsrq,J0303.6-6211,fsrq,J0303.6-6211,fsrq,J0303.6-6211,fsrq
268,J0304.3-2836,bll,J0304.4-2833,bll,J0304.4-2833,bll,J0304.4-2833,bll,J0304.4-2833,bll
269,J0304.9+6817,bcu,J0304.5+6821,bcu,J0304.5+6821,bcu,J0304.5+6821,bcu,J0304.5+6821,bcu
270,J0305.2-1607,bcu,J0305.1-1608,bll,J0305.1-1608,bll,J0305.1-1608,bll,J0305.1-1608,bll
271,J0308.0+7442,PSR,J0307.8+7443,PSR,J0307.8+7443,PSR,J0307.8+7443,MSP,J0307.8+7443,MSP
272,J0308.6+0408,rdg,J0308.4+0407,rdg,J0308.4+0407,rdg,J0308.4+0407,rdg,J0308.4+0407,rdg
273,J0309.0+1029,fsrq,J0309.0+1029,fsrq,J0309.0+1029,fsrq,J0309.0+1029,fsrq,J0309.0+1029,fsrq
274,J0309.5-0749,bll,J0309.7-0745,bll,J0309.7-0745,bll,J0309.7-0745,bll,J0309.7-0745,bll
275,J0309.9-6057,fsrq,J0309.9-6058,fsrq,J0309.9-6058,fsrq,J0309.9-6058,fsrq,J0309.9-6058,fsrq
276,J0310.4-5015,bcu,J0310.6-5017,bll,J0310.6-5017,bll,J0310.6-5017,bll,J0310.6-5017,bll
277,J0310.8+3814,fsrq,J0310.9+3815,fsrq,J0310.9+3815,fsrq,J0310.9+3815,fsrq,J0310.9+3815,fsrq
278,J0312.7+0133,fsrq,J0312.8+0134,fsrq,J0312.8+0134,fsrq,J0312.8+0134,fsrq,J0312.8+0134,fsrq
279,J0312.7+3613,bll,J0312.9+3614,bll,J0312.9+3614,bll,J0312.9+3614,bll,J0312.9+3614,bll
280,J0314.3-5103,bll,J0314.3-5103,bll,J0314.3-5103,bll,J0314.3-5103,bll,J0314.3-5103,bll
281,J0315.5-1026,fsrq,J0315.9-1033,fsrq,J0315.9-1033,fsrq,J0315.9-1033,fsrq,J0315.9-1033,fsrq
282,J0316.1+0904,bll,J0316.2+0905,bll,J0316.2+0905,bll,J0316.2+0905,bll,J0316.2+0905,bll
283,J0316.1-2611,bll,J0316.2-2608,bll,J0316.2-2608,bll,J0316.2-2608,bll,J0316.2-2608,bll
284,J0316.2-6436,bll,J0316.2-6437,bll,J0316.2-6437,bll,J0316.2-6437,bll,J0316.2-6437,bll
285,J0316.6+4119,rdg,J0316.8+4120,RDG,J0316.8+4120,RDG,J0316.8+4120,RDG,J0316.8+4120,RDG
286,J0318.7+2134,bcu,J0318.7+2135,bll,J0318.7+2135,bll,J0318.7+2135,bll,J0318.7+2135,bll
287,J0319.8+4130,RDG,J0319.8+4130,RDG,J0319.8+4130,RDG,J0319.8+4130,RDG,J0319.8+4130,RDG
288,J0319.8+1847,bll,J0319.8+1845,bll,J0319.8+1845,bll,J0319.8+1845,bll,J0319.8+1845,bll
289,J0322.0+2335,bll,J0322.0+2335,bll,J0322.0+2335,bll,J0322.0+2335,bll,J0322.0+2335,bll
290,J0323.6-0109,bll,J0323.7-0111,bll,J0323.7-0111,bll,J0323.7-0111,bll,J0323.7-0111,bll
291,J0325.2+3410,nlsy1,J0324.8+3412,nlsy1,J0324.8+3412,nlsy1,J0324.8+3412,nlsy1,J0324.8+3412,nlsy1
292,J0325.2-5634,bll,J0325.5-5635,bll,J0325.5-5635,bll,J0325.5-5635,bll,J0325.5-5635,bll
293,J0325.5+2223,fsrq,J0325.7+2225,fsrq,J0325.7+2225,fsrq,J0325.7+2225,fsrq,J0325.7+2225,fsrq
294,J0325.6-1648,bll,J0325.6-1646,bll,J0325.6-1646,bll,J0325.6-1646,bll,J0325.6-1646,bll
295,J0326.0-1842,bcu,J0325.9-1843,bcu,J0325.9-1843,bcu,J0325.9-1843,bcu,J0325.9-1843,bcu
296,J0326.2+0225,bll,J0326.2+0225,bll,J0326.2+0225,bll,J0326.2+0225,bll,J0326.2+0225,bll
297,J0331.3-6155,bcu,J0331.3-6156,bll,J0331.3-6156,bll,J0331.3-6156,bll,J0331.3-6156,bll
298,J0332.0+6308,bcu,J0331.9+6307,bll,J0331.9+6307,bll,J0331.9+6307,bll,J0331.9+6307,bll
299,J0333.4+7853,bcu,J0333.7+7851,bll,J0333.7+7851,bll,J0333.7+7851,bll,J0333.7+7851,bll
300,J0333.4+4003,bcu,J0333.8+4007,bcu,J0333.8+4007,bcu,J0333.8+4007,bcu,J0333.8+4007,bcu
301,J0333.6+2916,bll,J0333.7+2916,bll,J0333.7+2916,bll,J0333.7+2916,bll,J0333.7+2916,bll
302,J0333.9+6538,bll,J0333.9+6537,bll,J0333.9+6537,bll,J0333.9+6537,bll,J0333.9+6537,bll
303,J0334.2+3915,rdg,J0334.3+3920,rdg,J0334.3+3920,rdg,J0334.3+3920,rdg,J0334.3+3920,rdg
304,J0334.3-4008,bll,J0334.2-4008,bll,J0334.2-4008,bll,J0334.2-4008,bll,J0334.2-4008,bll
305,J0334.3-3726,bll,J0334.2-3725,bll,J0334.2-3725,bll,J0334.2-3725,bll,J0334.2-3725,bll
306,J0335.3-4459,bll,J0335.1-4459,bll,J0335.1-4459,bll,J0335.1-4459,bll,J0335.1-4459,bll
307,J0336.9-3622,fsrq,J0336.8-3612,fsrq,J0336.8-3612,fsrq,J0336.8-3612,fsrq,J0336.8-3612,fsrq
308,J0338.1-2443,bll,J0338.1-2443,bll,J0338.1-2443,bll,J0338.1-2443,bll,J0338.1-2443,bll
309,J0338.5+1303,bcu,J0338.5+1302,bll,J0338.5+1302,bll,J0338.5+1302,bll,J0338.5+1302,bll
310,J0339.2-1738,bcu,J0339.2-1736,bll,J0339.2-1736,bll,J0339.2-1736,bll,J0339.2-1736,bll
311,J0339.5-0146,fsrq,J0339.5-0146,fsrq,J0339.5-0146,fsrq,J0339.5-0146,fsrq,J0339.5-0146,fsrq
312,J0340.3+4130,PSR,J0340.3+4130,PSR,J0340.3+4130,PSR,J0340.3+4130,MSP,J0340.3+4130,MSP
313,J0340.5-2119,bll,J0340.5-2118,bll,J0340.5-2118,bll,J0340.5-2118,bll,J0340.5-2118,bll
314,J0342.2+3857,fsrq,J0342.2+3858,fsrq,J0342.2+3858,fsrq,J0342.2+3858,fsrq,J0342.2+3858,fsrq
315,J0342.6-3006,bcu,J0342.8-3007,bcu,J0342.8-3007,bcu,J0342.8-3007,bcu,J0342.8-3007,bcu
316,J0343.2-2534,fsrq,J0343.2-2529,fsrq,J0343.2-2529,fsrq,J0343.2-2529,fsrq,J0343.2-2529,fsrq
317,J0343.3-6443,bcu,J0343.2-6444,bll,J0343.2-6444,bll,J0343.2-6444,bll,J0343.2-6444,bll
318,J0343.3+3622,bcu,J0343.4+3621,fsrq,J0343.4+3621,fsrq,J0343.4+3621,fsrq,J0343.4+3621,fsrq
319,J0345.1-2353,bll,J0345.2-2353,bll,J0345.2-2353,bll,J0345.2-2353,bll,J0345.2-2353,bll
320,J0348.6-2748,fsrq,J0348.5-2749,fsrq,J0348.5-2749,fsrq,J0348.6-2749,fsrq,J0348.6-2749,fsrq
321,J0348.7-1606,bll,J0348.6-1609,bll,J0348.6-1609,bll,J0348.6-1609,bll,J0348.6-1609,bll
322,J0349.2-1158,bll,J0349.4-1159,bll,J0349.4-1159,bll,J0349.4-1159,bll,J0349.4-1159,bll
323,J0349.9-2102,fsrq,J0349.8-2103,fsrq,J0349.8-2103,fsrq,J0349.8-2103,fsrq,J0349.8-2103,fsrq
324,J0352.9+5655,bcu,J0353.0+5654,bll,J0353.0+5654,bll,J0353.0+5654,bll,J0353.0+5654,bll
325,J0353.0-3622,bll,J0352.9-3623,bll,J0352.9-3623,bll,J0352.9-3623,bll,J0352.9-3623,bll
326,J0353.0-6831,bll,J0353.0-6831,bll,J0353.0-6831,bll,J0353.0-6831,bll,J0353.0-6831,bll
327,J0354.1+4643,bcu,J0354.4+4643,bcu,J0354.4+4643,bcu,J0354.4+4643,bcu,J0354.4+4643,bcu
328,J0354.6+8011,bll,J0354.7+8009,bll,J0354.7+8009,bll,J0354.7+8009,bll,J0354.7+8009,bll
329,J0356.3-6948,bcu,J0358.0-6946,bcu,J0358.0-6946,bcu,J0358.0-6946,bcu,J0358.0-6946,bcu
330,J0357.1+2325,bcu,J0357.2+2320,bcu,J0357.2+2320,bcu,J0357.2+2320,bcu,J0357.2+2320,bcu
331,J0357.1-4957,bll,J0357.0-4955,bll,J0357.0-4955,bll,J0357.0-4955,bll,J0357.0-4955,bll
332,J0358.7+0633,bcu,J0358.6+0634,bcu,J0358.6+0634,bcu,J0358.6+0634,bcu,J0358.6+0634,bcu
333,J0358.8+6002,fsrq,J0358.9+6004,fsrq,J0358.9+6004,fsrq,J0358.9+6004,fsrq,J0358.9+6004,fsrq
334,J0359.3-2612,bll,J0359.4-2616,bll,J0359.4-2616,bll,J0359.4-2616,bll,J0359.4-2616,bll
335,J0401.4+2109,fsrq,J0401.7+2112,fsrq,J0401.7+2112,fsrq,J0401.7+2112,fsrq,J0401.7+2112,fsrq
336,J0401.8-3144,fsrq,J0402.1-3147,fsrq,J0402.1-3147,fsrq,J0402.1-3147,fsrq,J0402.1-3147,fsrq
337,J0402.1-2618,bll,J0402.0-2616,bll,J0402.0-2616,bll,J0402.0-2616,bll,J0402.0-2616,bll
338,J0403.7-2442,fsrq,J0403.5-2437,bll,J0403.5-2437,bll,J0403.5-2437,bll,J0403.5-2437,bll
339,J0403.9-3604,FSRQ,J0403.9-3605,FSRQ,J0403.9-3605,FSRQ,J0403.9-3605,FSRQ,J0403.9-3605,FSRQ
340,J0405.5-1307,fsrq,J0405.6-1308,fsrq,J0405.6-1308,fsrq,J0405.6-1308,fsrq,J0405.6-1308,fsrq
341,J0407.1-3825,fsrq,J0407.0-3826,fsrq,J0407.0-3826,fsrq,J0407.0-3826,fsrq,J0407.0-3826,fsrq
342,J0407.5+0740,bll,J0407.5+0741,bll,J0407.5+0741,bll,J0407.5+0741,bll,J0407.5+0741,bll
343,J0409.4+3158,bcu,J0409.4+3201,bcu,J0409.4+3201,bcu,J0409.4+3201,bcu,J0409.4+3201,bcu
344,J0409.8-0358,bll,J0409.8-0359,bll,J0409.8-0359,bll,J0409.8-0359,bll,J0409.8-0359,bll
345,J0416.6-1850,fsrq,J0416.5-1852,fsrq,J0416.5-1852,fsrq,J0416.5-1852,fsrq,J0416.5-1852,fsrq
346,J0416.8+0104,bll,J0416.9+0105,bll,J0416.9+0105,bll,J0416.9+0105,bll,J0416.9+0105,bll
347,J0418.0-0251,bcu,J0418.1-0252,bcu,J0418.1-0252,bcu,J0418.1-0252,bcu,J0418.1-0252,bcu
348,J0418.5+3813c,rdg,J0418.2+3807,rdg,J0418.2+3807,rdg,J0418.2+3807,rdg,J0418.2+3807,rdg
349,J0422.1-0642,fsrq,J0422.1-0644,fsrq,J0422.1-0644,fsrq,J0422.1-0644,fsrq,J0422.1-0644,fsrq
350,J0423.2-0119,FSRQ,J0423.3-0120,FSRQ,J0423.3-0120,FSRQ,J0423.3-0120,FSRQ,J0423.3-0120,FSRQ
351,J0423.8+4150,bll,J0423.9+4150,bll,J0423.9+4150,bll,J0423.9+4150,bll,J0423.9+4150,bll
352,J0424.7+0035,bll,J0424.7+0036,bll,J0424.7+0036,bll,J0424.7+0036,bll,J0424.7+0036,bll
353,J0425.0-5331,bll,J0424.9-5331,bll,J0424.9-5331,bll,J0424.9-5331,bll,J0424.9-5331,bll
354,J0425.2+6319,bcu,J0425.3+6319,bcu,J0425.3+6319,bcu,J0425.3+6319,bcu,J0425.3+6319,bcu
355,J0426.3+6827,bcu,J0426.7+6826,bcu,J0426.7+6826,bcu,J0426.7+6826,bcu,J0426.7+6826,bcu
356,J0427.3-3900,bcu,J0427.3-3900,bcu,J0427.3-3900,bcu,J0427.3-3900,bcu,J0427.3-3900,bcu
357,J0428.6-3756,bll,J0428.6-3756,bll,J0428.6-3756,bll,J0428.6-3756,bll,J0428.6-3756,bll
358,J0429.8+2843,bcu,J0429.8+2843,bcu,J0429.8+2843,bcu,J0429.8+2843,bcu,J0429.8+2843,bcu
359,J0430.2-2508,bll,J0430.3-2507,bll,J0430.3-2507,bll,J0430.3-2507,bll,J0430.3-2507,bll
360,J0430.5+1655,bcu,J0430.3+1654,bcu,J0430.3+1654,bcu,J0430.3+1654,bcu,J0430.3+1654,bcu
361,J0431.6+7403,bcu,J0431.8+7403,bll,J0431.8+7403,bll,J0431.8+7403,bll,J0431.8+7403,bll
362,J0433.1+3228,bcu,J0433.1+3227,bll,J0433.1+3227,bll,J0433.1+3227,bll,J0433.1+3227,bll
363,J0433.6+2905,bll,J0433.6+2905,bll,J0433.6+2905,bll,J0433.6+2905,bll,J0433.6+2905,bll
364,J0433.7-6028,bcu,J0433.6-6030,fsrq,J0433.6-6030,fsrq,J0433.6-6030,fsrq,J0433.6-6030,fsrq
365,J0434.0-5726,bcu,J0433.7-5725,bcu,J0433.7-5725,bcu,J0433.7-5725,bll,J0433.7-5725,bll
366,J0434.0-2010,bll,J0434.1-2014,bll,J0434.1-2014,bll,J0434.1-2014,bll,J0434.1-2014,bll
367,J0434.4-2341,bcu,J0434.4-2342,bll,J0434.4-2342,bll,J0434.4-2342,bll,J0434.4-2342,bll
368,J0434.6+0921,bcu,J0434.7+0922,bll,J0434.7+0922,bll,J0434.7+0922,bll,J0434.7+0922,bll
369,J0437.2-4713,PSR,J0437.2-4715,PSR,J0437.2-4715,PSR,J0437.2-4715,MSP,J0437.2-4715,MSP
370,J0438.3-1258,fsrq,J0438.4-1254,fsrq,J0438.4-1254,fsrq,J0438.4-1254,fsrq,J0438.4-1254,fsrq
371,J0438.8-4519,bll,J0438.9-4521,bll,J0438.9-4521,bll,J0438.9-4521,bll,J0438.9-4521,bll
372,J0439.6-3159,bcu,J0439.4-3202,bcu,J0439.4-3202,bcu,J0439.4-3202,bcu,J0439.4-3202,bcu
373,J0439.9-1859,bcu,J0439.8-1859,bll,J0439.8-1859,bll,J0439.8-1859,bll,J0439.8-1859,bll
374,J0440.3-2500,bll,J0440.2-2458,bll,J0440.2-2458,bll,J0440.2-2458,bll,J0440.2-2458,bll
375,J0440.3+1444,bcu,J0440.4+1440,bcu,J0440.4+1440,bcu,J0440.4+1440,bcu,J0440.4+1440,bcu
376,J0440.8+2751,bll,J0440.8+2749,bll,J0440.8+2749,bll,J0440.8+2749,bll,J0440.8+2749,bll
377,J0442.6-0017,fsrq,J0442.6-0017,fsrq,J0442.6-0017,fsrq,J0442.6-0017,fsrq,J0442.6-0017,fsrq
378,J0444.5+3425,bcu,J0444.6+3425,bcu,J0444.6+3425,bcu,J0444.6+3425,bcu,J0444.6+3425,bcu
379,J0444.6-6012,fsrq,J0445.1-6012,fsrq,J0445.1-6012,fsrq,J0445.1-6012,fsrq,J0445.1-6012,fsrq
380,J0448.6-1632,bll,J0448.6-1632,bll,J0448.6-1632,bll,J0448.6-1632,bll,J0448.6-1632,bll
381,J0449.0+1121,fsrq,J0449.1+1121,fsrq,J0449.1+1121,fsrq,J0449.1+1121,fsrq,J0449.1+1121,fsrq
382,J0449.4-4350,bll,J0449.4-4350,bll,J0449.4-4350,bll,J0449.4-4350,bll,J0449.4-4350,bll
383,J0453.2-2808,fsrq,J0453.1-2806,fsrq,J0453.1-2806,fsrq,J0453.1-2806,fsrq,J0453.1-2806,fsrq
384,J0453.2+6321,bcu,J0453.1+6322,bll,J0453.1+6322,bll,J0453.1+6322,bll,J0453.1+6322,bll
385,J0455.7-4617,fsrq,J0455.7-4617,fsrq,J0455.7-4617,fsrq,J0455.7-4617,fsrq,J0455.7-4617,fsrq
386,J0456.3+2702,bcu,J0456.2+2702,bcu,J0456.2+2702,bcu,J0456.2+2702,bcu,J0456.2+2702,bcu
387,J0456.3-3131,fsrq,J0456.6-3136,fsrq,J0456.6-3136,fsrq,J0456.6-3136,fsrq,J0456.6-3136,fsrq
388,J0457.0-2324,FSRQ,J0457.0-2324,FSRQ,J0457.0-2324,FSRQ,J0457.0-2324,FSRQ,J0457.0-2324,FSRQ
389,J0457.0+0643,fsrq,J0457.0+0646,fsrq,J0457.0+0646,fsrq,J0457.0+0646,fsrq,J0457.0+0646,fsrq
390,J0500.3+5237,spp,J0500.2+5237,bcu,J0500.2+5237,bcu,J0500.2+5237,bcu,J0500.2+5237,bll
391,J0501.2-0157,fsrq,J0501.2-0158,fsrq,J0501.2-0158,fsrq,J0501.2-0158,fsrq,J0501.2-0158,fsrq
392,J0501.8+3046,bcu,J0501.7+3048,bcu,J0501.7+3048,bcu,J0501.7+3048,bcu,J0501.7+3048,bcu
393,J0502.5+0612,fsrq,J0502.4+0609,fsrq,J0502.4+0609,fsrq,J0502.4+0609,fsrq,J0502.4+0609,fsrq
394,J0502.7+3438,bcu,J0502.5+3438,bcu,J0502.5+3438,bcu,J0502.5+3438,bcu,J0502.5+3438,bcu
395,J0503.4+4522,bcu,J0503.6+4518,bcu,J0503.6+4518,bcu,J0503.6+4518,bcu,J0503.6+4518,bcu
396,J0503.5+6538,bll,J0502.9+6533,bll,J0502.9+6533,bll,J0502.9+6533,bll,J0502.9+6533,bll
397,J0505.3+0459,fsrq,J0505.3+0459,fsrq,J0505.3+0459,fsrq,J0505.3+0459,fsrq,J0505.3+0459,fsrq
398,J0505.3-0422,fsrq,J0505.8-0419,fsrq,J0505.8-0419,fsrq,J0505.8-0419,fsrq,J0505.8-0419,fsrq
399,J0505.5+0416,bll,J0505.6+0415,bll,J0505.6+0415,bll,J0505.6+0415,bll,J0505.6+0415,bll
400,J0505.5-1558,bcu,J0505.6-1558,bll,J0505.6-1558,bll,J0505.6-1558,bll,J0505.6-1558,bll
401,J0505.9+6114,bll,J0506.0+6113,bll,J0506.0+6113,bll,J0506.0+6113,bll,J0506.0+6113,bll
402,J0506.9-5435,bcu,J0506.9-5435,bll,J0506.9-5435,bll,J0506.9-5435,bll,J0506.9-5435,bll
403,J0508.0+6736,bll,J0507.9+6737,bll,J0507.9+6737,bll,J0507.9+6737,bll,J0507.9+6737,bll
404,J0508.2-1936,bcu,J0508.2-1937,fsrq,J0508.2-1937,fsrq,J0508.2-1937,fsrq,J0508.2-1937,fsrq
405,J0509.3+1012,fsrq,J0509.4+1012,fsrq,J0509.4+1012,fsrq,J0509.4+1012,fsrq,J0509.4+1012,fsrq
406,J0509.4+0541,bll,J0509.4+0542,bll,J0509.4+0542,bll,J0509.4+0542,bll,J0509.4+0542,bll
407,J0509.7-0400,bll,J0509.6-0402,bll,J0509.6-0402,bll,J0509.6-0402,bll,J0509.6-0402,bll
408,J0509.7-6418,bcu,J0509.9-6417,bcu,J0509.9-6417,bcu,J0509.9-6417,bll,J0509.9-6417,bll
409,J0510.0+1802,fsrq,J0510.0+1800,fsrq,J0510.0+1800,fsrq,J0510.0+1800,fsrq,J0510.0+1800,fsrq
410,J0512.9+4038,bcu,J0512.8+4041,bcu,J0512.8+4041,bcu,J0512.8+4041,bcu,J0512.8+4041,bcu
411,J0515.3-4557,fsrq,J0515.6-4556,fsrq,J0515.6-4556,fsrq,J0515.6-4556,fsrq,J0515.6-4556,fsrq
412,J0515.5-0123,bcu,J0515.5-0125,bcu,J0515.5-0125,bcu,J0515.5-0125,bcu,J0515.5-0125,bcu
413,J0515.8+1526,bll,J0515.8+1527,bll,J0515.8+1527,bll,J0515.8+1527,bll,J0515.8+1527,bll
414,J0516.3+7351,bll,J0516.4+7350,bll,J0516.4+7350,bll,J0516.4+7350,bll,J0516.4+7350,bll
415,J0516.7-6207,bll,J0516.7-6207,bll,J0516.7-6207,bll,J0516.7-6207,bll,J0516.7-6207,bll
416,J0517.5+0902,fsrq,J0517.5+0858,fsrq,J0517.5+0858,fsrq,J0517.5+0858,fsrq,J0517.5+0858,fsrq
417,J0519.2-4542,rdg,J0519.6-4544,rdg,J0519.6-4544,rdg,J0519.6-4544,rdg,J0519.6-4544,rdg
