,3FGL,CLASS1-3FGL,3FGL-BSL,3FGL-1FGL,3FGL-2FGL
120,J0058.0-3233,bll,,J0058.4-3235,J0057.9-3236
121,J0058.3+3315,fsrq,,J0058.0+3314,J0057.9+3311
122,J0059.0-7242e,GAL,,J0101.3-7257,J0059.0-7242e
123,J0059.1-5701,bcu,,,J0059.7-5700
124,J0059.2-0152,bll,,,J0059.2-0151
125,J0059.6+0003,fsrq,,,
126,J0100.2+0745,bll,J0100.2+0750,J0100.2+0747,J0100.2+0746
127,J0101.0-6422,PSR,,J0101.0-6423,J0101.2-6425
128,J0102.1+4458,,,,
129,J0102.1+0943,,,J0102.3+0942,J0102.2+0943
130,J0102.3+4217,fsrq,,J0102.2+4223,J0102.3+4216
131,J0102.8+4840,PSR,,J0103.1+4840,J0102.9+4838
132,J0102.8+5825,fsrq,,J0102.8+5827,J0102.7+5827
133,J0103.4+5336,bll,,,J0103.5+5336
134,J0103.7+1323,bcu,,,J0103.8+1324
135,J0105.1-2415,fsrq,,J0104.4-2406,J0105.0-2411
136,J0105.3+3928,bll,,J0105.7+3930,J0105.3+3930
137,J0106.5+4855,PSR,,J0106.7+4853,J0106.5+4854
138,J0107.0-1208,bcu,,,
139,J0108.5-0035,fsrq,,,
140,J0108.7+0134,fsrq,,J0108.6+0135,J0108.6+0135
141,J0109.1+1816,bll,,J0109.0+1816,J0109.0+1817
142,J0109.8+6132,fsrq,,,J0109.9+6132
143,J0109.9-4020,bll,,J0110.0-4023,
144,J0110.2+6806,bll,,J0110.0+6806,J0110.3+6805
145,J0110.9-1254,bll,,,
146,J0111.5+0535,bll,,,
147,J0112.1+2245,BLL,J0112.1+2247,J0112.0+2247,J0112.1+2245
148,J0112.8+3207,fsrq,,J0112.9+3207,J0112.8+3208
149,J0112.9-7506,,,,
150,J0113.0-3554,fsrq,,,J0113.2-3557
151,J0113.4+4948,fsrq,,J0113.8+4945,J0113.7+4948
152,J0114.8+1917,,,,
153,J0114.8+1326,bll,,J0114.4+1327,J0114.7+1326
154,J0115.7+0356,bll,,J0115.7+0357,J0115.4+0358
155,J0115.8+2519,bll,,J0115.5+2519,J0115.7+2518
156,J0116.0-1134,fsrq,,J0115.5-1132,J0116.0-1134
157,J0116.2-2744,bcu,,,
158,J0116.3-6153,bll,,,J0116.6-6153
159,J0116.8+6913,,,,
160,J0117.8-2113,fsrq,,,
161,J0118.8-2142,fsrq,J0118.7-2139,J0118.7-2137,J0118.8-2142
162,J0118.9-1457,bll,,,
163,J0120.4-2700,bll,J0120.5-2703,J0120.5-2700,J0120.4-2700
164,J0121.7+5154,bcu,,J0122.2+5200,
165,J0121.8-3917,,,,
166,J0122.8+3423,bll,,,J0122.6+3425
167,J0123.7-2312,bll,,,
168,J0125.2-0627,bll,,J0124.6-0616,J0124.5-0621
169,J0125.4-2548,bll,,,
170,J0126.1-2227,fsrq,,,
171,J0127.1-0818,bll,,,
172,J0127.2+0325,bcu,,J0127.0+0322,J0127.2+0324
173,J0127.4+5433,,,,
174,J0127.5+5634,,,,
175,J0127.6+4851,,,,
176,J0127.9+2551,fsrq,,,
177,J0128.4+6257,spp,,,
178,J0128.5+4430,fsrq,,J0128.6+4439,J0128.4+4431
179,J0130.8+1441,fsrq,,,
180,J0131.2+6120,bll,,J0131.2+6121,J0131.1+6121
181,J0131.3+5548,bcu,,,
182,J0132.1-5340,,,,
183,J0132.5-0802,bcu,,,
184,J0132.6-1655,fsrq,,J0132.6-1655,J0132.8-1654
185,J0133.0-4413,bll,,,J0133.4-4408
186,J0133.2-4737,,,,
187,J0133.2-5159,bcu,,,
188,J0133.3+5930,,,,
189,J0133.3+4324,bcu,,,
190,J0134.3-3842,fsrq,,,
191,J0134.5+2638,bcu,,J0134.4+2632,J0134.4+2636
192,J0135.0+6927,bcu,,,
193,J0136.5+3905,bll,J0136.6+3903,J0136.5+3905,J0136.5+3905
194,J0137.0+4752,fsrq,J0137.1+4751,J0137.0+4751,J0136.9+4751
195,J0137.6-2430,fsrq,,J0137.5-2428,J0137.6-2430
196,J0137.8+5813,bcu,,J0137.8+5814,J0137.7+5811
197,J0138.5-4612,,,,
198,J0139.9+8735,bcu,,,
199,J0141.4-0929,bll,,J0141.7-0929,J0141.5-0928
200,J0143.7-5845,bll,,J0143.9-5845,J0143.6-5844
201,J0144.6+2705,bll,J0144.5+2709,J0144.6+2703,J0144.6+2704
202,J0145.1-2732,fsrq,J0145.1-2728,J0144.9-2732,J0145.1-2732
203,J0145.6+8600,bcu,,,
204,J0146.4-6746,bcu,,,
205,J0147.0-5204,bcu,,,J0146.6-5206
206,J0148.3+5200,bcu,,,
207,J0148.6+0128,bll,,,J0148.6+0127
208,J0149.6+4846,,,,
209,J0150.5-5447,bcu,,,
210,J0151.0-3609,bcu,,,
211,J0151.0+0537,bcu,,,
212,J0151.6+2205,fsrq,,,
213,J0152.2+3707,bcu,,,
214,J0152.6+0148,bll,,,J0152.6+0148
215,J0152.8+7517,bll,,,
216,J0153.4+7114,bcu,,,
217,J0154.0+0824,bll,,J0154.1+0823,J0153.9+0823
218,J0154.1+4642,,,,
219,J0154.9+4433,bll,,J0155.0+4433,J0154.9+4434
220,J0156.3+3913,bcu,,,J0156.4+3909
221,J0156.5-2423,,,,J0156.5-2419
222,J0156.9-4742,bcu,,,
223,J0157.0-5301,bll,,J0157.0-5259,J0157.2-5259
224,J0157.9-4615,fsrq,,J0157.5-4613,J0158.0-4609
225,J0158.6-3931,bll,,J0158.0-3931,J0158.3-3931
226,J0158.6+0102,,,,J0158.4+0107
227,J0159.4+1046,bll,,J0159.5+1047,J0159.5+1046
228,J0159.8-2741,bll,,J0159.7-2741,J0159.6-2741
229,J0200.3-4108,,,,J0200.4-4105
230,J0200.9-6635,bcu,,,J0201.5-6626
231,J0202.3+0851,fsrq,,J0202.1+0849,
232,J0202.5+4206,bll,,,
233,J0203.1-0227,bcu,,,
234,J0203.6+1148,,,,
235,J0203.6+3043,bll,,J0203.5+3044,J0204.0+3045
236,J0204.0+7234,bll,,J0203.5+7234,J0203.6+7235
237,J0204.2+2420,bcu,,,
238,J0204.8+3212,fsrq,,J0205.3+3217,J0205.4+3211
239,J0205.0+1510,bcu,,J0204.5+1516,J0205.0+1514
240,J0205.2-1700,fsrq,J0204.8-1704,J0205.0-1702,J0205.3-1657
241,J0205.5+6448,PSR,,J0205.6+6449,J0205.8+6448
242,J0206.4-1150,fsrq,,,J0206.5-1149
243,J0207.9-3846,bcu,,,
244,J0208.0-6838,bll,,,J0207.9-6832
245,J0208.6+3522,bll,,J0208.6+3522,
246,J0209.4-5229,bll,,J0209.3-5229,J0209.5-5229
247,J0209.5+4449,bll,,,
248,J0210.7-5101,BCU,J0210.8-5100,J0210.6-5101,J0210.7-5102
249,J0211.0+1922,,,,
250,J0211.2+1051,BLL,,J0211.2+1049,J0211.2+1050
251,J0211.2-0649,bcu,,,
252,J0211.7+5402,bcu,,,
253,J0212.1+5320,,,J0212.3+5319,J0212.1+5318
254,J0212.8-3504,bll,,,
255,J0213.0+2245,bll,,J0213.2+2244,J0213.1+2245
256,J0213.1-2720,bcu,,,
257,J0214.4+5143,bll,,,
258,J0214.7-5823,bcu,,,
259,J0216.0+0300,,,,
260,J0216.1-7016,bcu,,,
261,J0216.4+0507,,,,
262,J0216.6-1019,bcu,,,
263,J0217.0-6635,bll,,J0217.9-6630,J0216.9-6630
264,J0217.1-0833,fsrq,,J0217.0-0829,J0217.5-0813
265,J0217.2+0837,bll,,J0217.2+0834,J0217.4+0836
266,J0217.3+6209,bcu,,,
267,J0217.5+7349,fsrq,,J0217.8+7353,J0217.7+7353
