,3FGL,CLASS1-3FGL,4FGLDR1,CLASS1-4FGLDR1,4FGLDR1-3FGL,4FGLDR2,CLASS1-4FGLDR2,4FGLDR2-3FGL,4FGLDR3,CLASS1-4FGLDR3,4FGLDR3-3FGL,4FGLDR4,CLASS1-4FGLDR4,4FGLDR4-3FGL,status
471,J0409.8-0358,bll,J0409.8-0359,bll,J0409.8-0358,J0409.8-0359,bll,J0409.8-0358,J0409.8-0359,bll,J0409.8-0358,J0409.8-0359,bll,J0409.8-0358,2
476,J0416.6-1850,fsrq,J0416.5-1852,fsrq,J0416.6-1850,J0416.5-1852,fsrq,J0416.6-1850,J0416.5-1852,fsrq,J0416.6-1850,J0416.5-1852,fsrq,J0416.6-1850,2
477,J0416.8+0104,bll,J0416.9+0105,bll,J0416.8+0104,J0416.9+0105,bll,J0416.8+0104,J0416.9+0105,bll,J0416.8+0104,J0416.9+0105,bll,J0416.8+0104,2
478,J0418.0-0251,bcu,J0418.1-0252,bcu,J0418.0-0251,J0418.1-0252,bcu,J0418.0-0251,J0418.1-0252,bcu,J0418.0-0251,J0418.1-0252,bcu,J0418.0-0251,2
480,J0418.5+3813c,rdg,J0418.2+3807,rdg,J0418.5+3813c,J0418.2+3807,rdg,J0418.5+3813c,J0418.2+3807,rdg,J0418.5+3813c,J0418.2+3807,rdg,J0418.5+3813c,2
486,J0422.1-0642,fsrq,J0422.1-0644,fsrq,J0422.1-0642,J0422.1-0644,fsrq,J0422.1-0642,J0422.1-0644,fsrq,J0422.1-0642,J0422.1-0644,fsrq,J0422.1-0642,2
487,J0423.2-0119,FSRQ,J0423.3-0120,FSRQ,J0423.2-0119,J0423.3-0120,FSRQ,J0423.2-0119,J0423.3-0120,FSRQ,J0423.2-0119,J0423.3-0120,FSRQ,J0423.2-0119,2
489,J0423.8+4150,bll,J0423.9+4150,bll,J0423.8+4150,J0423.9+4150,bll,J0423.8+4150,J0423.9+4150,bll,J0423.8+4150,J0423.9+4150,bll,J0423.8+4150,2
490,J0424.7+0035,bll,J0424.7+0036,bll,J0424.7+0035,J0424.7+0036,bll,J0424.7+0035,J0424.7+0036,bll,J0424.7+0035,J0424.7+0036,bll,J0424.7+0035,2
491,J0425.0-5331,bll,J0424.9-5331,bll,J0425.0-5331,J0424.9-5331,bll,J0425.0-5331,J0424.9-5331,bll,J0425.0-5331,J0424.9-5331,bll,J0425.0-5331,2
492,J0425.2+6319,bcu,J0425.3+6319,bcu,J0425.2+6319,J0425.3+6319,bcu,J0425.2+6319,J0425.3+6319,bcu,J0425.2+6319,J0425.3+6319,bcu,J0425.2+6319,2
495,J0426.3+6827,bcu,J0426.7+6826,bcu,J0426.3+6827,J0426.7+6826,bcu,J0426.3+6827,J0426.7+6826,bcu,J0426.3+6827,J0426.7+6826,bcu,J0426.3+6827,2
498,J0427.3-3900,bcu,J0427.3-3900,bcu,J0427.3-3900,J0427.3-3900,bcu,J0427.3-3900,J0427.3-3900,bcu,J0427.3-3900,J0427.3-3900,bcu,J0427.3-3900,2
500,J0428.6-3756,bll,J0428.6-3756,bll,J0428.6-3756,J0428.6-3756,bll,J0428.6-3756,J0428.6-3756,bll,J0428.6-3756,J0428.6-3756,bll,J0428.6-3756,2
501,J0429.8+2843,bcu,J0429.8+2843,bcu,J0429.8+2843,J0429.8+2843,bcu,J0429.8+2843,J0429.8+2843,bcu,J0429.8+2843,J0429.8+2843,bcu,J0429.8+2843,2
504,J0430.2-2508,bll,J0430.3-2507,bll,J0430.2-2508,J0430.3-2507,bll,J0430.2-2508,J0430.3-2507,bll,J0430.2-2508,J0430.3-2507,bll,J0430.2-2508,2
505,J0430.5+1655,bcu,J0430.3+1654,bcu,J0430.5+1655,J0430.3+1654,bcu,J0430.5+1655,J0430.3+1654,bcu,J0430.5+1655,J0430.3+1654,bcu,J0430.5+1655,2
506,J0431.6+7403,bcu,J0431.8+7403,bll,J0431.6+7403,J0431.8+7403,bll,J0431.6+7403,J0431.8+7403,bll,J0431.6+7403,J0431.8+7403,bll,J0431.6+7403,3
509,J0433.1+3228,bcu,J0433.1+3227,bll,J0433.1+3228,J0433.1+3227,bll,J0433.1+3228,J0433.1+3227,bll,J0433.1+3228,J0433.1+3227,bll,J0433.1+3228,3
510,J0433.6+2905,bll,J0433.6+2905,bll,J0433.6+2905,J0433.6+2905,bll,J0433.6+2905,J0433.6+2905,bll,J0433.6+2905,J0433.6+2905,bll,J0433.6+2905,2
511,J0433.7-6028,bcu,J0433.6-6030,fsrq,J0433.7-6028,J0433.6-6030,fsrq,J0433.7-6028,J0433.6-6030,fsrq,J0433.7-6028,J0433.6-6030,fsrq,J0433.7-6028,3
512,J0434.0-5726,bcu,J0433.7-5725,bcu,J0434.0-5726,J0433.7-5725,bcu,J0434.0-5726,J0433.7-5725,bll,J0434.0-5726,J0433.7-5725,bll,J0434.0-5726,3
513,J0434.0-2010,bll,J0434.1-2014,bll,J0434.0-2010,J0434.1-2014,bll,J0434.0-2010,J0434.1-2014,bll,J0434.0-2010,J0434.1-2014,bll,J0434.0-2010,2
515,J0434.4-2341,bcu,J0434.4-2342,bll,J0434.4-2341,J0434.4-2342,bll,J0434.4-2341,J0434.4-2342,bll,J0434.4-2341,J0434.4-2342,bll,J0434.4-2341,3
516,J0434.6+0921,bcu,J0434.7+0922,bll,J0434.6+0921,J0434.7+0922,bll,J0434.6+0921,J0434.7+0922,bll,J0434.6+0921,J0434.7+0922,bll,J0434.6+0921,3
517,J0437.2-4713,PSR,J0437.2-4715,PSR,J0437.2-4713,J0437.2-4715,PSR,J0437.2-4713,J0437.2-4715,MSP,J0437.2-4713,J0437.2-4715,MSP,J0437.2-4713,3
519,J0438.3-1258,fsrq,J0438.4-1254,fsrq,J0438.3-1258,J0438.4-1254,fsrq,J0438.3-1258,J0438.4-1254,fsrq,J0438.3-1258,J0438.4-1254,fsrq,J0438.3-1258,2
520,J0438.8-4519,bll,J0438.9-4521,bll,J0438.8-4519,J0438.9-4521,bll,J0438.8-4519,J0438.9-4521,bll,J0438.8-4519,J0438.9-4521,bll,J0438.8-4519,2
521,J0439.6-3159,bcu,J0439.4-3202,bcu,J0439.6-3159,J0439.4-3202,bcu,J0439.6-3159,J0439.4-3202,bcu,J0439.6-3159,J0439.4-3202,bcu,J0439.6-3159,2
522,J0439.9-1859,bcu,J0439.8-1859,bll,J0439.9-1859,J0439.8-1859,bll,J0439.9-1859,J0439.8-1859,bll,J0439.9-1859,J0439.8-1859,bll,J0439.9-1859,3
523,J0440.3-2500,bll,J0440.2-2458,bll,J0440.3-2500,J0440.2-2458,bll,J0440.3-2500,J0440.2-2458,bll,J0440.3-2500,J0440.2-2458,bll,J0440.3-2500,2
524,J0440.3+1444,bcu,J0440.4+1440,bcu,J0440.3+1444,J0440.4+1440,bcu,J0440.3+1444,J0440.4+1440,bcu,J0440.3+1444,J0440.4+1440,bcu,J0440.3+1444,2
525,J0440.8+2751,bll,J0440.8+2749,bll,J0440.8+2751,J0440.8+2749,bll,J0440.8+2751,J0440.8+2749,bll,J0440.8+2751,J0440.8+2749,bll,J0440.8+2751,2
526,J0442.6-0017,fsrq,J0442.6-0017,fsrq,J0442.6-0017,J0442.6-0017,fsrq,J0442.6-0017,J0442.6-0017,fsrq,J0442.6-0017,J0442.6-0017,fsrq,J0442.6-0017,2
527,J0444.5+3425,bcu,J0444.6+3425,bcu,J0444.5+3425,J0444.6+3425,bcu,J0444.5+3425,J0444.6+3425,bcu,J0444.5+3425,J0444.6+3425,bcu,J0444.5+3425,2
528,J0444.6-6012,fsrq,J0445.1-6012,fsrq,J0444.6-6012,J0445.1-6012,fsrq,J0444.6-6012,J0445.1-6012,fsrq,J0444.6-6012,J0445.1-6012,fsrq,J0444.6-6012,2
531,J0448.6-1632,bll,J0448.6-1632,bll,J0448.6-1632,J0448.6-1632,bll,J0448.6-1632,J0448.6-1632,bll,J0448.6-1632,J0448.6-1632,bll,J0448.6-1632,2
532,J0449.0+1121,fsrq,J0449.1+1121,fsrq,J0449.0+1121,J0449.1+1121,fsrq,J0449.0+1121,J0449.1+1121,fsrq,J0449.0+1121,J0449.1+1121,fsrq,J0449.0+1121,2
533,J0449.4-4350,bll,J0449.4-4350,bll,J0449.4-4350,J0449.4-4350,bll,J0449.4-4350,J0449.4-4350,bll,J0449.4-4350,J0449.4-4350,bll,J0449.4-4350,2
536,J0453.2-2808,fsrq,J0453.1-2806,fsrq,J0453.2-2808,J0453.1-2806,fsrq,J0453.2-2808,J0453.1-2806,fsrq,J0453.2-2808,J0453.1-2806,fsrq,J0453.2-2808,2
537,J0453.2+6321,bcu,J0453.1+6322,bll,J0453.2+6321,J0453.1+6322,bll,J0453.2+6321,J0453.1+6322,bll,J0453.2+6321,J0453.1+6322,bll,J0453.2+6321,3
539,J0455.7-4617,fsrq,J0455.7-4617,fsrq,J0455.7-4617,J0455.7-4617,fsrq,J0455.7-4617,J0455.7-4617,fsrq,J0455.7-4617,J0455.7-4617,fsrq,J0455.7-4617,2
541,J0456.3+2702,bcu,J0456.2+2702,bcu,J0456.3+2702,J0456.2+2702,bcu,J0456.3+2702,J0456.2+2702,bcu,J0456.3+2702,J0456.2+2702,bcu,J0456.3+2702,2
542,J0456.3-3131,fsrq,J0456.6-3136,fsrq,J0456.3-3131,J0456.6-3136,fsrq,J0456.3-3131,J0456.6-3136,fsrq,J0456.3-3131,J0456.6-3136,fsrq,J0456.3-3131,2
543,J0457.0-2324,FSRQ,J0457.0-2324,FSRQ,J0457.0-2324,J0457.0-2324,FSRQ,J0457.0-2324,J0457.0-2324,FSRQ,J0457.0-2324,J0457.0-2324,FSRQ,J0457.0-2324,2
544,J0457.0+0643,fsrq,J0457.0+0646,fsrq,J0457.0+0643,J0457.0+0646,fsrq,J0457.0+0643,J0457.0+0646,fsrq,J0457.0+0643,J0457.0+0646,fsrq,J0457.0+0643,2
545,J0500.3+5237,spp,J0500.2+5237,bcu,J0500.3+5237,J0500.2+5237,bcu,J0500.3+5237,J0500.2+5237,bcu,J0500.3+5237,J0500.2+5237,bll,J0500.3+5237,3
546,J0501.2-0157,fsrq,J0501.2-0158,fsrq,J0501.2-0157,J0501.2-0158,fsrq,J0501.2-0157,J0501.2-0158,fsrq,J0501.2-0157,J0501.2-0158,fsrq,J0501.2-0157,2
547,J0501.8+3046,bcu,J0501.7+3048,bcu,J0501.8+3046,J0501.7+3048,bcu,J0501.8+3046,J0501.7+3048,bcu,J0501.8+3046,J0501.7+3048,bcu,J0501.8+3046,2
548,J0502.5+0612,fsrq,J0502.4+0609,fsrq,J0502.5+0612,J0502.4+0609,fsrq,J0502.5+0612,J0502.4+0609,fsrq,J0502.5+0612,J0502.4+0609,fsrq,J0502.5+0612,2
550,J0502.7+3438,bcu,J0502.5+3438,bcu,J0502.7+3438,J0502.5+3438,bcu,J0502.7+3438,J0502.5+3438,bcu,J0502.7+3438,J0502.5+3438,bcu,J0502.7+3438,2
551,J0503.4+4522,bcu,J0503.6+4518,bcu,J0503.4+4522,J0503.6+4518,bcu,J0503.4+4522,J0503.6+4518,bcu,J0503.4+4522,J0503.6+4518,bcu,J0503.4+4522,2
552,J0503.5+6538,bll,J0502.9+6533,bll,J0503.5+6538,J0502.9+6533,bll,J0503.5+6538,J0502.9+6533,bll,J0503.5+6538,J0502.9+6533,bll,J0503.5+6538,2
553,J0505.3+0459,fsrq,J0505.3+0459,fsrq,J0505.3+0459,J0505.3+0459,fsrq,J0505.3+0459,J0505.3+0459,fsrq,J0505.3+0459,J0505.3+0459,fsrq,J0505.3+0459,2
554,J0505.3-0422,fsrq,J0505.8-0419,fsrq,J0505.3-0422,J0505.8-0419,fsrq,J0505.3-0422,J0505.8-0419,fsrq,J0505.3-0422,J0505.8-0419,fsrq,J0505.3-0422,2
555,J0505.5+0416,bll,J0505.6+0415,bll,J0505.5+0416,J0505.6+0415,bll,J0505.5+0416,J0505.6+0415,bll,J0505.5+0416,J0505.6+0415,bll,J0505.5+0416,2
556,J0505.5-1558,bcu,J0505.6-1558,bll,J0505.5-1558,J0505.6-1558,bll,J0505.5-1558,J0505.6-1558,bll,J0505.5-1558,J0505.6-1558,bll,J0505.5-1558,3
557,J0505.9+6114,bll,J0506.0+6113,bll,J0505.9+6114,J0506.0+6113,bll,J0505.9+6114,J0506.0+6113,bll,J0505.9+6114,J0506.0+6113,bll,J0505.9+6114,2
560,J0506.9-5435,bcu,J0506.9-5435,bll,J0506.9-5435,J0506.9-5435,bll,J0506.9-5435,J0506.9-5435,bll,J0506.9-5435,J0506.9-5435,bll,J0506.9-5435,3
563,J0508.0+6736,bll,J0507.9+6737,bll,J0508.0+6736,J0507.9+6737,bll,J0508.0+6736,J0507.9+6737,bll,J0508.0+6736,J0507.9+6737,bll,J0508.0+6736,2
564,J0508.2-1936,bcu,J0508.2-1937,fsrq,J0508.2-1936,J0508.2-1937,fsrq,J0508.2-1936,J0508.2-1937,fsrq,J0508.2-1936,J0508.2-1937,fsrq,J0508.2-1936,3
565,J0509.3+1012,fsrq,J0509.4+1012,fsrq,J0509.3+1012,J0509.4+1012,fsrq,J0509.3+1012,J0509.4+1012,fsrq,J0509.3+1012,J0509.4+1012,fsrq,J0509.3+1012,2
566,J0509.4+0541,bll,J0509.4+0542,bll,J0509.4+0541,J0509.4+0542,bll,J0509.4+0541,J0509.4+0542,bll,J0509.4+0541,J0509.4+0542,bll,J0509.4+0541,2
567,J0509.7-0400,bll,J0509.6-0402,bll,J0509.7-0400,J0509.6-0402,bll,J0509.7-0400,J0509.6-0402,bll,J0509.7-0400,J0509.6-0402,bll,J0509.7-0400,2
568,J0509.7-6418,bcu,J0509.9-6417,bcu,J0509.7-6418,J0509.9-6417,bcu,J0509.7-6418,J0509.9-6417,bll,J0509.7-6418,J0509.9-6417,bll,J0509.7-6418,3
569,J0510.0+1802,fsrq,J0510.0+1800,fsrq,J0510.0+1802,J0510.0+1800,fsrq,J0510.0+1802,J0510.0+1800,fsrq,J0510.0+1802,J0510.0+1800,fsrq,J0510.0+1802,2
572,J0512.9+4038,bcu,J0512.8+4041,bcu,J0512.9+4038,J0512.8+4041,bcu,J0512.9+4038,J0512.8+4041,bcu,J0512.9+4038,J0512.8+4041,bcu,J0512.9+4038,2
575,J0515.3-4557,fsrq,J0515.6-4556,fsrq,J0515.3-4557,J0515.6-4556,fsrq,J0515.3-4557,J0515.6-4556,fsrq,J0515.3-4557,J0515.6-4556,fsrq,J0515.3-4557,2
576,J0515.5-0123,bcu,J0515.5-0125,bcu,J0515.5-0123,J0515.5-0125,bcu,J0515.5-0123,J0515.5-0125,bcu,J0515.5-0123,J0515.5-0125,bcu,J0515.5-0123,2
577,J0515.8+1526,bll,J0515.8+1527,bll,J0515.8+1526,J0515.8+1527,bll,J0515.8+1526,J0515.8+1527,bll,J0515.8+1526,J0515.8+1527,bll,J0515.8+1526,2
578,J0516.3+7351,bll,J0516.4+7350,bll,J0516.3+7351,J0516.4+7350,bll,J0516.3+7351,J0516.4+7350,bll,J0516.3+7351,J0516.4+7350,bll,J0516.3+7351,2
580,J0516.7-6207,bll,J0516.7-6207,bll,J0516.7-6207,J0516.7-6207,bll,J0516.7-6207,J0516.7-6207,bll,J0516.7-6207,J0516.7-6207,bll,J0516.7-6207,2
583,J0517.5+0902,fsrq,J0517.5+0858,fsrq,J0517.5+0902,J0517.5+0858,fsrq,J0517.5+0902,J0517.5+0858,fsrq,J0517.5+0902,J0517.5+0858,fsrq,J0517.5+0902,2
584,J0519.2-4542,rdg,J0519.6-4544,rdg,J0519.2-4542,J0519.6-4544,rdg,J0519.2-4542,J0519.6-4544,rdg,J0519.2-4542,J0519.6-4544,rdg,J0519.2-4542,2
585,J0519.3+2746,bcu,J0519.6+2744,bcu,J0519.3+2746,J0519.6+2744,bcu,J0519.3+2746,J0519.6+2744,bcu,J0519.3+2746,J0519.6+2744,bcu,J0519.3+2746,2
586,J0519.5+0852,bcu,J0519.0+0851,bcu,J0519.5+0852,J0519.0+0851,bcu,J0519.5+0852,J0519.0+0851,bcu,J0519.5+0852,J0519.0+0851,bcu,J0519.5+0852,2
587,J0521.4-1740,fsrq,J0521.3-1734,fsrq,J0521.4-1740,J0521.3-1734,fsrq,J0521.4-1740,J0521.3-1734,fsrq,J0521.4-1740,J0521.3-1734,fsrq,J0521.4-1740,2
588,J0521.7+0103,bcu,J0521.6+0103,bll,J0521.7+0103,J0521.6+0103,bll,J0521.7+0103,J0521.6+0103,bll,J0521.7+0103,J0521.6+0103,bll,J0521.7+0103,3
589,J0521.7+2113,bll,J0521.7+2112,bll,J0521.7+2113,J0521.7+2112,bll,J0521.7+2113,J0521.7+2112,bll,J0521.7+2113,J0521.7+2112,bll,J0521.7+2113,2
590,J0521.9-3847,bcu,J0521.8-3848,bcu,J0521.9-3847,J0521.8-3848,bcu,J0521.9-3847,J0521.8-3848,bcu,J0521.9-3847,J0521.8-3848,bcu,J0521.9-3847,2
591,J0522.9-3628,BCU,J0522.9-3628,AGN,J0522.9-3628,J0522.9-3628,AGN,J0522.9-3628,J0522.9-3628,AGN,J0522.9-3628,J0522.9-3628,AGN,J0522.9-3628,3
604,J0525.3-4558,fsrq,J0525.4-4600,fsrq,J0525.3-4558,J0525.4-4600,fsrq,J0525.3-4558,J0525.4-4600,fsrq,J0525.3-4558,J0525.4-4600,fsrq,J0525.3-4558,2
605,J0525.6-6013,bcu,J0525.6-6013,bcu,J0525.6-6013,J0525.6-6013,bcu,J0525.6-6013,J0525.6-6013,bcu,J0525.6-6013,J0525.6-6013,bcu,J0525.6-6013,2
606,J0525.8-2014,bcu,J0525.6-2008,bcu,J0525.8-2014,J0525.6-2008,bcu,J0525.8-2014,J0525.6-2008,bll,J0525.8-2014,J0525.6-2008,bll,J0525.8-2014,3
607,J0526.0+4253,bcu,J0526.7+4254,snr,J0526.0+4253,J0526.7+4254,snr,J0526.0+4253,J0526.7+4254,snr,J0526.0+4253,J0526.7+4254,snr,J0526.0+4253,3
608,J0526.2-4829,fsrq,J0526.2-4830,fsrq,J0526.2-4829,J0526.2-4830,fsrq,J0526.2-4829,J0526.2-4830,fsrq,J0526.2-4829,J0526.2-4830,fsrq,J0526.2-4829,2
611,J0526.6+6321,bcu,J0526.1+6318,bcu,J0526.6+6321,J0526.1+6318,bcu,J0526.6+6321,J0526.1+6318,bcu,J0526.6+6321,J0526.1+6318,bcu,J0526.6+6321,2
614,J0529.1+0933,bcu,J0529.1+0935,bcu,J0529.1+0933,J0529.1+0935,bcu,J0529.1+0933,J0529.1+0935,bcu,J0529.1+0933,J0529.1+0935,bcu,J0529.1+0933,2
615,J0529.2-5917,bll,J0528.7-5920,bll,J0529.2-5917,J0528.7-5920,bll,J0529.2-5917,J0528.7-5920,bll,J0529.2-5917,J0528.7-5920,bll,J0529.2-5917,2
617,J0529.8-7242,bcu,J0529.3-7243,bcu,J0529.8-7242,J0529.3-7243,bcu,J0529.8-7242,J0529.3-7243,bcu,J0529.8-7242,J0529.3-7243,bcu,J0529.8-7242,2
618,J0530.8+1330,FSRQ,J0530.9+1332,FSRQ,J0530.8+1330,J0530.9+1332,FSRQ,J0530.8+1330,J0530.9+1332,FSRQ,J0530.8+1330,J0530.9+1332,FSRQ,J0530.8+1330,2
619,J0532.0-4827,BCU,J0532.0-4827,BLL,J0532.0-4827,J0532.0-4827,BLL,J0532.0-4827,J0532.0-4827,BLL,J0532.0-4827,J0532.0-4827,BLL,J0532.0-4827,3
620,J0532.7+0732,FSRQ,J0532.6+0732,FSRQ,J0532.7+0732,J0532.6+0732,FSRQ,J0532.7+0732,J0532.6+0732,FSRQ,J0532.7+0732,J0532.6+0732,FSRQ,J0532.7+0732,2
621,J0533.0-3939,bcu,J0532.8-3941,bcu,J0533.0-3939,J0532.8-3941,bcu,J0533.0-3939,J0532.8-3941,bcu,J0533.0-3939,J0532.8-3941,bcu,J0533.0-3939,2
622,J0533.2+4822,fsrq,J0533.3+4823,fsrq,J0533.2+4822,J0533.3+4823,fsrq,J0533.2+4822,J0533.3+4823,fsrq,J0533.2+4822,J0533.3+4823,fsrq,J0533.2+4822,2
624,J0533.6-8323,fsrq,J0532.9-8325,fsrq,J0533.6-8323,J0532.9-8325,fsrq,J0533.6-8323,J0532.9-8325,fsrq,J0533.6-8323,J0532.9-8325,fsrq,J0533.6-8323,2
626,J0534.0+6759,PSR,J0533.8+6800,PSR,J0534.0+6759,J0533.8+6800,PSR,J0534.0+6759,J0533.8+6800,MSP,J0534.0+6759,J0533.8+6800,MSP,J0534.0+6759,3
627,J0534.5+2201i,PWN,J0534.5+2201i,PWN,J0534.5+2201i,J0534.5+2201i,PWN,J0534.5+2201i,J0534.5+2201i,PWN,J0534.5+2201i,J0534.5+2201i,PWN,J0534.5+2201i,2
628,J0534.5+2201s,PWN,J0534.5+2201s,PWN,J0534.5+2201s,J0534.5+2201s,PWN,J0534.5+2201s,J0534.5+2201s,PWN,J0534.5+2201s,J0534.5+2201s,PWN,J0534.5+2201s,2
629,J0534.5+2201,PSR,J0534.5+2200,PSR,J0534.5+2201,J0534.5+2200,PSR,J0534.5+2201,J0534.5+2200,PSR,J0534.5+2201,J0534.5+2200,PSR,J0534.5+2201,2
631,J0535.6-2749,bcu,J0536.0-2754,bcu,J0535.6-2749,J0536.0-2754,bcu,J0535.6-2749,J0536.0-2754,bcu,J0535.6-2749,J0536.0-2754,bcu,J0535.6-2749,2
637,J0537.4-5717,bll,J0537.7-5717,bll,J0537.4-5717,J0537.7-5717,bll,J0537.4-5717,J0537.7-5717,bll,J0537.4-5717,J0537.7-5717,bll,J0537.4-5717,2
638,J0538.4-3909,bcu,J0538.2-3910,bcu,J0538.4-3909,J0538.2-3910,bll,J0538.4-3909,J0538.2-3910,bll,J0538.4-3909,J0538.2-3910,bll,J0538.4-3909,3
639,J0538.8-4405,BLL,J0538.8-4405,BLL,J0538.8-4405,J0538.8-4405,BLL,J0538.8-4405,J0538.8-4405,BLL,J0538.8-4405,J0538.8-4405,BLL,J0538.8-4405,2
643,J0539.8+1434,fsrq,J0539.6+1432,FSRQ,J0539.8+1434,J0539.6+1432,FSRQ,J0539.8+1434,J0539.6+1432,FSRQ,J0539.8+1434,J0539.6+1432,FSRQ,J0539.8+1434,3
646,J0540.0-2837,fsrq,J0539.9-2839,fsrq,J0540.0-2837,J0539.9-2839,fsrq,J0540.0-2837,J0539.9-2839,fsrq,J0540.0-2837,J0539.9-2839,fsrq,J0540.0-2837,2
647,J0540.3+2756e,SNR,J0540.3+2756e,SNR,J0540.3+2756e,J0540.3+2756e,SNR,J0540.3+2756e,J0540.3+2756e,SNR,J0540.3+2756e,J0540.3+2756e,SNR,J0540.3+2756e,2
648,J0540.4+5823,bll,J0540.5+5823,bll,J0540.4+5823,J0540.5+5823,bll,J0540.4+5823,J0540.5+5823,bll,J0540.4+5823,J0540.5+5823,bll,J0540.4+5823,2
649,J0540.5-5416,fsrq,J0540.8-5415,fsrq,J0540.5-5416,J0540.8-5415,fsrq,J0540.5-5416,J0540.8-5415,fsrq,J0540.5-5416,J0540.8-5415,fsrq,J0540.5-5416,2
653,J0542.5-0907c,bcu,J0542.9-0913,bcu,J0542.5-0907c,J0542.9-0913,bcu,J0542.5-0907c,J0542.9-0913,bcu,J0542.5-0907c,J0542.9-0913,bcu,J0542.5-0907c,2
654,J0543.9-5531,bll,J0543.9-5531,bll,J0543.9-5531,J0543.9-5531,bll,J0543.9-5531,J0543.9-5531,bll,J0543.9-5531,J0543.9-5531,bll,J0543.9-5531,2
659,J0550.6-3217,bll,J0550.5-3216,bll,J0550.6-3217,J0550.5-3216,bll,J0550.6-3217,J0550.5-3216,bll,J0550.6-3217,J0550.5-3216,bll,J0550.6-3217,2
660,J0553.5-2036,bcu,J0553.5-2034,bll,J0553.5-2036,J0553.5-2034,bll,J0553.5-2036,J0553.5-2034,bll,J0553.5-2036,J0553.5-2034,bll,J0553.5-2036,3
661,J0554.1+3104,PSR,J0554.1+3107,PSR,J0554.1+3104,J0554.1+3107,PSR,J0554.1+3104,J0554.1+3107,PSR,J0554.1+3104,J0554.1+3107,PSR,J0554.1+3104,2
662,J0556.0-4353,bll,J0556.2-4352,bll,J0556.0-4353,J0556.2-4352,bll,J0556.0-4353,J0556.2-4352,bll,J0556.0-4353,J0556.2-4352,bll,J0556.0-4353,2
665,J0558.1-3838,bll,J0558.0-3837,bll,J0558.1-3838,J0558.0-3837,bll,J0558.1-3838,J0558.0-3837,bll,J0558.1-3838,J0558.0-3837,bll,J0558.1-3838,2
666,J0558.6-7459,bll,J0558.8-7459,bll,J0558.6-7459,J0558.8-7459,bll,J0558.6-7459,J0558.8-7459,bll,J0558.6-7459,J0558.8-7459,bll,J0558.6-7459,2
669,J0600.9-3943,fsrq,J0600.6-3939,fsrq,J0600.9-3943,J0600.6-3939,fsrq,J0600.9-3943,J0600.6-3939,fsrq,J0600.9-3943,J0600.6-3939,fsrq,J0600.9-3943,2
670,J0601.0+3837,bll,J0601.0+3838,bll,J0601.0+3837,J0601.0+3838,bll,J0601.0+3837,J0601.0+3838,bll,J0601.0+3837,J0601.0+3838,bll,J0601.0+3837,2
671,J0601.2-7036,fsrq,J0601.1-7035,fsrq,J0601.2-7036,J0601.1-7035,fsrq,J0601.2-7036,J0601.1-7035,fsrq,J0601.2-7036,J0601.1-7035,fsrq,J0601.2-7036,2
673,J0602.2+5314,bcu,J0602.0+5315,bcu,J0602.2+5314,J0602.0+5315,bll,J0602.2+5314,J0602.0+5315,bll,J0602.2+5314,J0602.0+5315,bll,J0602.2+5314,3
676,J0603.8+2155,bcu,J0603.9+2159,bcu,J0603.8+2155,J0603.9+2159,bcu,J0603.8+2155,J0603.9+2159,bcu,J0603.8+2155,J0603.9+2159,bcu,J0603.8+2155,2
677,J0604.1-4817,bll,J0604.1-4816,bll,J0604.1-4817,J0604.1-4816,bll,J0604.1-4817,J0604.1-4816,bll,J0604.1-4817,J0604.1-4816,bll,J0604.1-4817,2
678,J0604.7-4849,bcu,J0604.5-4851,bcu,J0604.7-4849,J0604.5-4851,bcu,J0604.7-4849,J0604.5-4851,bcu,J0604.7-4849,J0604.5-4851,bcu,J0604.7-4849,2
679,J0605.0+3756,PSR,J0605.1+3757,PSR,J0605.0+3756,J0605.1+3757,PSR,J0605.0+3756,J0605.1+3757,MSP,J0605.0+3756,J0605.1+3757,MSP,J0605.0+3756,3
682,J0606.4-4729,bcu,J0606.5-4730,bcu,J0606.4-4729,J0606.5-4730,bcu,J0606.4-4729,J0606.5-4730,bcu,J0606.4-4729,J0606.5-4730,bcu,J0606.4-4729,2
683,J0607.4+4739,bll,J0607.4+4739,bll,J0607.4+4739,J0607.4+4739,bll,J0607.4+4739,J0607.4+4739,bll,J0607.4+4739,J0607.4+4739,bll,J0607.4+4739,2
684,J0608.0-0835,fsrq,J0608.0-0835,fsrq,J0608.0-0835,J0608.0-0835,fsrq,J0608.0-0835,J0608.0-0835,fsrq,J0608.0-0835,J0608.0-0835,fsrq,J0608.0-0835,2
685,J0608.1-1522,fsrq,J0608.1-1521,fsrq,J0608.1-1522,J0608.1-1521,fsrq,J0608.1-1522,J0608.1-1521,fsrq,J0608.1-1522,J0608.1-1521,fsrq,J0608.1-1522,2
690,J0609.4-0248,bll,J0609.2-0247,bll,J0609.4-0248,J0609.2-0247,bll,J0609.4-0248,J0609.2-0247,bll,J0609.4-0248,J0609.2-0247,bll,J0609.4-0248,2
693,J0610.2-2059,PSR,J0610.2-2100,PSR,J0610.2-2059,J0610.2-2100,PSR,J0610.2-2059,J0610.2-2100,MSP,J0610.2-2059,J0610.2-2100,MSP,J0610.2-2059,3
