,3FGL,4FGLDR1,4FGLDR2,4FGLDR3,4FGLDR4,status
384,J0316.2-6436,J0316.2-6437,J0316.2-6437,J0316.2-6437,J0316.2-6437,2
385,J0316.6+4119,J0316.8+4120,J0316.8+4120,J0316.8+4120,J0316.8+4120,3
387,J0318.7+2134,J0318.7+2135,J0318.7+2135,J0318.7+2135,J0318.7+2135,3
388,J0319.8+4130,J0319.8+4130,J0319.8+4130,J0319.8+4130,J0319.8+4130,2
389,J0319.8+1847,J0319.8+1845,J0319.8+1845,J0319.8+1845,J0319.8+1845,2
390,J0322.0+2335,J0322.0+2335,J0322.0+2335,J0322.0+2335,J0322.0+2335,2
392,J0323.6-0109,J0323.7-0111,J0323.7-0111,J0323.7-0111,J0323.7-0111,2
395,J0325.2+3410,J0324.8+3412,J0324.8+3412,J0324.8+3412,J0324.8+3412,2
396,J0325.2-5634,J0325.5-5635,J0325.5-5635,J0325.5-5635,J0325.5-5635,2
397,J0325.5+2223,J0325.7+2225,J0325.7+2225,J0325.7+2225,J0325.7+2225,2
398,J0325.6-1648,J0325.6-1646,J0325.6-1646,J0325.6-1646,J0325.6-1646,2
399,J0326.0-1842,J0325.9-1843,J0325.9-1843,J0325.9-1843,J0325.9-1843,2
400,J0326.2+0225,J0326.2+0225,J0326.2+0225,J0326.2+0225,J0326.2+0225,2
403,J0331.3-6155,J0331.3-6156,J0331.3-6156,J0331.3-6156,J0331.3-6156,3
404,J0332.0+6308,J0331.9+6307,J0331.9+6307,J0331.9+6307,J0331.9+6307,3
407,J0333.4+7853,J0333.7+7851,J0333.7+7851,J0333.7+7851,J0333.7+7851,3
408,J0333.4+4003,J0333.8+4007,J0333.8+4007,J0333.8+4007,J0333.8+4007,2
410,J0333.6+2916,J0333.7+2916,J0333.7+2916,J0333.7+2916,J0333.7+2916,2
411,J0333.9+6538,J0333.9+6537,J0333.9+6537,J0333.9+6537,J0333.9+6537,2
412,J0334.2+3915,J0334.3+3920,J0334.3+3920,J0334.3+3920,J0334.3+3920,2
413,J0334.3-4008,J0334.2-4008,J0334.2-4008,J0334.2-4008,J0334.2-4008,2
414,J0334.3-3726,J0334.2-3725,J0334.2-3725,J0334.2-3725,J0334.2-3725,2
415,J0335.3-4459,J0335.1-4459,J0335.1-4459,J0335.1-4459,J0335.1-4459,2
418,J0336.9-3622,J0336.8-3612,J0336.8-3612,J0336.8-3612,J0336.8-3612,2
420,J0338.1-2443,J0338.1-2443,J0338.1-2443,J0338.1-2443,J0338.1-2443,2
421,J0338.5+1303,J0338.5+1302,J0338.5+1302,J0338.5+1302,J0338.5+1302,3
422,J0339.2-1738,J0339.2-1736,J0339.2-1736,J0339.2-1736,J0339.2-1736,3
423,J0339.5-0146,J0339.5-0146,J0339.5-0146,J0339.5-0146,J0339.5-0146,2
424,J0340.3+4130,J0340.3+4130,J0340.3+4130,J0340.3+4130,J0340.3+4130,3
427,J0340.5-2119,J0340.5-2118,J0340.5-2118,J0340.5-2118,J0340.5-2118,2
428,J0342.2+3857,J0342.2+3858,J0342.2+3858,J0342.2+3858,J0342.2+3858,2
430,J0342.6-3006,J0342.8-3007,J0342.8-3007,J0342.8-3007,J0342.8-3007,2
432,J0343.2-2534,J0343.2-2529,J0343.2-2529,J0343.2-2529,J0343.2-2529,2
433,J0343.3-6443,J0343.2-6444,J0343.2-6444,J0343.2-6444,J0343.2-6444,3
434,J0343.3+3622,J0343.4+3621,J0343.4+3621,J0343.4+3621,J0343.4+3621,3
435,J0345.1-2353,J0345.2-2353,J0345.2-2353,J0345.2-2353,J0345.2-2353,2
439,J0348.6-2748,J0348.5-2749,J0348.5-2749,J0348.6-2749,J0348.6-2749,2
440,J0348.7-1606,J0348.6-1609,J0348.6-1609,J0348.6-1609,J0348.6-1609,2
441,J0349.2-1158,J0349.4-1159,J0349.4-1159,J0349.4-1159,J0349.4-1159,2
442,J0349.9-2102,J0349.8-2103,J0349.8-2103,J0349.8-2103,J0349.8-2103,2
446,J0352.9+5655,J0353.0+5654,J0353.0+5654,J0353.0+5654,J0353.0+5654,3
447,J0353.0-3622,J0352.9-3623,J0352.9-3623,J0352.9-3623,J0352.9-3623,2
448,J0353.0-6831,J0353.0-6831,J0353.0-6831,J0353.0-6831,J0353.0-6831,2
449,J0354.1+4643,J0354.4+4643,J0354.4+4643,J0354.4+4643,J0354.4+4643,2
450,J0354.6+8011,J0354.7+8009,J0354.7+8009,J0354.7+8009,J0354.7+8009,2
451,J0356.3-6948,J0358.0-6946,J0358.0-6946,J0358.0-6946,J0358.0-6946,2
452,J0357.1+2325,J0357.2+2320,J0357.2+2320,J0357.2+2320,J0357.2+2320,2
453,J0357.1-4957,J0357.0-4955,J0357.0-4955,J0357.0-4955,J0357.0-4955,2
455,J0358.7+0633,J0358.6+0634,J0358.6+0634,J0358.6+0634,J0358.6+0634,2
456,J0358.8+6002,J0358.9+6004,J0358.9+6004,J0358.9+6004,J0358.9+6004,2
457,J0359.3-2612,J0359.4-2616,J0359.4-2616,J0359.4-2616,J0359.4-2616,2
461,J0401.4+2109,J0401.7+2112,J0401.7+2112,J0401.7+2112,J0401.7+2112,2
462,J0401.8-3144,J0402.1-3147,J0402.1-3147,J0402.1-3147,J0402.1-3147,2
463,J0402.1-2618,J0402.0-2616,J0402.0-2616,J0402.0-2616,J0402.0-2616,2
465,J0403.7-2442,J0403.5-2437,J0403.5-2437,J0403.5-2437,J0403.5-2437,3
466,J0403.9-3604,J0403.9-3605,J0403.9-3605,J0403.9-3605,J0403.9-3605,2
467,J0405.5-1307,J0405.6-1308,J0405.6-1308,J0405.6-1308,J0405.6-1308,2
468,J0407.1-3825,J0407.0-3826,J0407.0-3826,J0407.0-3826,J0407.0-3826,2
469,J0407.5+0740,J0407.5+0741,J0407.5+0741,J0407.5+0741,J0407.5+0741,2
470,J0409.4+3158,J0409.4+3201,J0409.4+3201,J0409.4+3201,J0409.4+3201,2
471,J0409.8-0358,J0409.8-0359,J0409.8-0359,J0409.8-0359,J0409.8-0359,2
476,J0416.6-1850,J0416.5-1852,J0416.5-1852,J0416.5-1852,J0416.5-1852,2
477,J0416.8+0104,J0416.9+0105,J0416.9+0105,J0416.9+0105,J0416.9+0105,2
478,J0418.0-0251,J0418.1-0252,J0418.1-0252,J0418.1-0252,J0418.1-0252,2
480,J0418.5+3813c,J0418.2+3807,J0418.2+3807,J0418.2+3807,J0418.2+3807,2
486,J0422.1-0642,J0422.1-0644,J0422.1-0644,J0422.1-0644,J0422.1-0644,2
487,J0423.2-0119,J0423.3-0120,J0423.3-0120,J0423.3-0120,J0423.3-0120,2
489,J0423.8+4150,J0423.9+4150,J0423.9+4150,J0423.9+4150,J0423.9+4150,2
490,J0424.7+0035,J0424.7+0036,J0424.7+0036,J0424.7+0036,J0424.7+0036,2
491,J0425.0-5331,J0424.9-5331,J0424.9-5331,J0424.9-5331,J0424.9-5331,2
492,J0425.2+6319,J0425.3+6319,J0425.3+6319,J0425.3+6319,J0425.3+6319,2
495,J0426.3+6827,J0426.7+6826,J0426.7+6826,J0426.7+6826,J0426.7+6826,2
498,J0427.3-3900,J0427.3-3900,J0427.3-3900,J0427.3-3900,J0427.3-3900,2
500,J0428.6-3756,J0428.6-3756,J0428.6-3756,J0428.6-3756,J0428.6-3756,2
501,J0429.8+2843,J0429.8+2843,J0429.8+2843,J0429.8+2843,J0429.8+2843,2
504,J0430.2-2508,J0430.3-2507,J0430.3-2507,J0430.3-2507,J0430.3-2507,2
505,J0430.5+1655,J0430.3+1654,J0430.3+1654,J0430.3+1654,J0430.3+1654,2
506,J0431.6+7403,J0431.8+7403,J0431.8+7403,J0431.8+7403,J0431.8+7403,3
509,J0433.1+3228,J0433.1+3227,J0433.1+3227,J0433.1+3227,J0433.1+3227,3
510,J0433.6+2905,J0433.6+2905,J0433.6+2905,J0433.6+2905,J0433.6+2905,2
511,J0433.7-6028,J0433.6-6030,J0433.6-6030,J0433.6-6030,J0433.6-6030,3
512,J0434.0-5726,J0433.7-5725,J0433.7-5725,J0433.7-5725,J0433.7-5725,3
513,J0434.0-2010,J0434.1-2014,J0434.1-2014,J0434.1-2014,J0434.1-2014,2
515,J0434.4-2341,J0434.4-2342,J0434.4-2342,J0434.4-2342,J0434.4-2342,3
516,J0434.6+0921,J0434.7+0922,J0434.7+0922,J0434.7+0922,J0434.7+0922,3
517,J0437.2-4713,J0437.2-4715,J0437.2-4715,J0437.2-4715,J0437.2-4715,3
519,J0438.3-1258,J0438.4-1254,J0438.4-1254,J0438.4-1254,J0438.4-1254,2
520,J0438.8-4519,J0438.9-4521,J0438.9-4521,J0438.9-4521,J0438.9-4521,2
521,J0439.6-3159,J0439.4-3202,J0439.4-3202,J0439.4-3202,J0439.4-3202,2
522,J0439.9-1859,J0439.8-1859,J0439.8-1859,J0439.8-1859,J0439.8-1859,3
523,J0440.3-2500,J0440.2-2458,J0440.2-2458,J0440.2-2458,J0440.2-2458,2
524,J0440.3+1444,J0440.4+1440,J0440.4+1440,J0440.4+1440,J0440.4+1440,2
525,J0440.8+2751,J0440.8+2749,J0440.8+2749,J0440.8+2749,J0440.8+2749,2
526,J0442.6-0017,J0442.6-0017,J0442.6-0017,J0442.6-0017,J0442.6-0017,2
527,J0444.5+3425,J0444.6+3425,J0444.6+3425,J0444.6+3425,J0444.6+3425,2
528,J0444.6-6012,J0445.1-6012,J0445.1-6012,J0445.1-6012,J0445.1-6012,2
531,J0448.6-1632,J0448.6-1632,J0448.6-1632,J0448.6-1632,J0448.6-1632,2
532,J0449.0+1121,J0449.1+1121,J0449.1+1121,J0449.1+1121,J0449.1+1121,2
533,J0449.4-4350,J0449.4-4350,J0449.4-4350,J0449.4-4350,J0449.4-4350,2
536,J0453.2-2808,J0453.1-2806,J0453.1-2806,J0453.1-2806,J0453.1-2806,2
537,J0453.2+6321,J0453.1+6322,J0453.1+6322,J0453.1+6322,J0453.1+6322,3
539,J0455.7-4617,J0455.7-4617,J0455.7-4617,J0455.7-4617,J0455.7-4617,2
541,J0456.3+2702,J0456.2+2702,J0456.2+2702,J0456.2+2702,J0456.2+2702,2
542,J0456.3-3131,J0456.6-3136,J0456.6-3136,J0456.6-3136,J0456.6-3136,2
543,J0457.0-2324,J0457.0-2324,J0457.0-2324,J0457.0-2324,J0457.0-2324,2
544,J0457.0+0643,J0457.0+0646,J0457.0+0646,J0457.0+0646,J0457.0+0646,2
545,J0500.3+5237,J0500.2+5237,J0500.2+5237,J0500.2+5237,J0500.2+5237,3
546,J0501.2-0157,J0501.2-0158,J0501.2-0158,J0501.2-0158,J0501.2-0158,2
547,J0501.8+3046,J0501.7+3048,J0501.7+3048,J0501.7+3048,J0501.7+3048,2
548,J0502.5+0612,J0502.4+0609,J0502.4+0609,J0502.4+0609,J0502.4+0609,2
550,J0502.7+3438,J0502.5+3438,J0502.5+3438,J0502.5+3438,J0502.5+3438,2
551,J0503.4+4522,J0503.6+4518,J0503.6+4518,J0503.6+4518,J0503.6+4518,2
552,J0503.5+6538,J0502.9+6533,J0502.9+6533,J0502.9+6533,J0502.9+6533,2
553,J0505.3+0459,J0505.3+0459,J0505.3+0459,J0505.3+0459,J0505.3+0459,2
554,J0505.3-0422,J0505.8-0419,J0505.8-0419,J0505.8-0419,J0505.8-0419,2
555,J0505.5+0416,J0505.6+0415,J0505.6+0415,J0505.6+0415,J0505.6+0415,2
556,J0505.5-1558,J0505.6-1558,J0505.6-1558,J0505.6-1558,J0505.6-1558,3
557,J0505.9+6114,J0506.0+6113,J0506.0+6113,J0506.0+6113,J0506.0+6113,2
560,J0506.9-5435,J0506.9-5435,J0506.9-5435,J0506.9-5435,J0506.9-5435,3
563,J0508.0+6736,J0507.9+6737,J0507.9+6737,J0507.9+6737,J0507.9+6737,2
564,J0508.2-1936,J0508.2-1937,J0508.2-1937,J0508.2-1937,J0508.2-1937,3
565,J0509.3+1012,J0509.4+1012,J0509.4+1012,J0509.4+1012,J0509.4+1012,2
566,J0509.4+0541,J0509.4+0542,J0509.4+0542,J0509.4+0542,J0509.4+0542,2
567,J0509.7-0400,J0509.6-0402,J0509.6-0402,J0509.6-0402,J0509.6-0402,2
568,J0509.7-6418,J0509.9-6417,J0509.9-6417,J0509.9-6417,J0509.9-6417,3
569,J0510.0+1802,J0510.0+1800,J0510.0+1800,J0510.0+1800,J0510.0+1800,2
572,J0512.9+4038,J0512.8+4041,J0512.8+4041,J0512.8+4041,J0512.8+4041,2
575,J0515.3-4557,J0515.6-4556,J0515.6-4556,J0515.6-4556,J0515.6-4556,2
576,J0515.5-0123,J0515.5-0125,J0515.5-0125,J0515.5-0125,J0515.5-0125,2
577,J0515.8+1526,J0515.8+1527,J0515.8+1527,J0515.8+1527,J0515.8+1527,2
578,J0516.3+7351,J0516.4+7350,J0516.4+7350,J0516.4+7350,J0516.4+7350,2
580,J0516.7-6207,J0516.7-6207,J0516.7-6207,J0516.7-6207,J0516.7-6207,2
583,J0517.5+0902,J0517.5+0858,J0517.5+0858,J0517.5+0858,J0517.5+0858,2
584,J0519.2-4542,J0519.6-4544,J0519.6-4544,J0519.6-4544,J0519.6-4544,2
585,J0519.3+2746,J0519.6+2744,J0519.6+2744,J0519.6+2744,J0519.6+2744,2
586,J0519.5+0852,J0519.0+0851,J0519.0+0851,J0519.0+0851,J0519.0+0851,2
587,J0521.4-1740,J0521.3-1734,J0521.3-1734,J0521.3-1734,J0521.3-1734,2
588,J0521.7+0103,J0521.6+0103,J0521.6+0103,J0521.6+0103,J0521.6+0103,3
589,J0521.7+2113,J0521.7+2112,J0521.7+2112,J0521.7+2112,J0521.7+2112,2
590,J0521.9-3847,J0521.8-3848,J0521.8-3848,J0521.8-3848,J0521.8-3848,2
591,J0522.9-3628,J0522.9-3628,J0522.9-3628,J0522.9-3628,J0522.9-3628,3
604,J0525.3-4558,J0525.4-4600,J0525.4-4600,J0525.4-4600,J0525.4-4600,2
605,J0525.6-6013,J0525.6-6013,J0525.6-6013,J0525.6-6013,J0525.6-6013,2
606,J0525.8-2014,J0525.6-2008,J0525.6-2008,J0525.6-2008,J0525.6-2008,3
607,J0526.0+4253,J0526.7+4254,J0526.7+4254,J0526.7+4254,J0526.7+4254,3
608,J0526.2-4829,J0526.2-4830,J0526.2-4830,J0526.2-4830,J0526.2-4830,2
611,J0526.6+6321,J0526.1+6318,J0526.1+6318,J0526.1+6318,J0526.1+6318,2
614,J0529.1+0933,J0529.1+0935,J0529.1+0935,J0529.1+0935,J0529.1+0935,2
615,J0529.2-5917,J0528.7-5920,J0528.7-5920,J0528.7-5920,J0528.7-5920,2
617,J0529.8-7242,J0529.3-7243,J0529.3-7243,J0529.3-7243,J0529.3-7243,2
618,J0530.8+1330,J0530.9+1332,J0530.9+1332,J0530.9+1332,J0530.9+1332,2
619,J0532.0-4827,J0532.0-4827,J0532.0-4827,J0532.0-4827,J0532.0-4827,3
620,J0532.7+0732,J0532.6+0732,J0532.6+0732,J0532.6+0732,J0532.6+0732,2
621,J0533.0-3939,J0532.8-3941,J0532.8-3941,J0532.8-3941,J0532.8-3941,2
622,J0533.2+4822,J0533.3+4823,J0533.3+4823,J0533.3+4823,J0533.3+4823,2
624,J0533.6-8323,J0532.9-8325,J0532.9-8325,J0532.9-8325,J0532.9-8325,2
626,J0534.0+6759,J0533.8+6800,J0533.8+6800,J0533.8+6800,J0533.8+6800,3
627,J0534.5+2201i,J0534.5+2201i,J0534.5+2201i,J0534.5+2201i,J0534.5+2201i,2
628,J0534.5+2201s,J0534.5+2201s,J0534.5+2201s,J0534.5+2201s,J0534.5+2201s,2
629,J0534.5+2201,J0534.5+2200,J0534.5+2200,J0534.5+2200,J0534.5+2200,2
631,J0535.6-2749,J0536.0-2754,J0536.0-2754,J0536.0-2754,J0536.0-2754,2
637,J0537.4-5717,J0537.7-5717,J0537.7-5717,J0537.7-5717,J0537.7-5717,2
638,J0538.4-3909,J0538.2-3910,J0538.2-3910,J0538.2-3910,J0538.2-3910,3
639,J0538.8-4405,J0538.8-4405,J0538.8-4405,J0538.8-4405,J0538.8-4405,2
643,J0539.8+1434,J0539.6+1432,J0539.6+1432,J0539.6+1432,J0539.6+1432,3
646,J0540.0-2837,J0539.9-2839,J0539.9-2839,J0539.9-2839,J0539.9-2839,2
647,J0540.3+2756e,J0540.3+2756e,J0540.3+2756e,J0540.3+2756e,J0540.3+2756e,2
648,J0540.4+5823,J0540.5+5823,J0540.5+5823,J0540.5+5823,J0540.5+5823,2
649,J0540.5-5416,J0540.8-5415,J0540.8-5415,J0540.8-5415,J0540.8-5415,2
653,J0542.5-0907c,J0542.9-0913,J0542.9-0913,J0542.9-0913,J0542.9-0913,2
654,J0543.9-5531,J0543.9-5531,J0543.9-5531,J0543.9-5531,J0543.9-5531,2
659,J0550.6-3217,J0550.5-3216,J0550.5-3216,J0550.5-3216,J0550.5-3216,2
660,J0553.5-2036,J0553.5-2034,J0553.5-2034,J0553.5-2034,J0553.5-2034,3
661,J0554.1+3104,J0554.1+3107,J0554.1+3107,J0554.1+3107,J0554.1+3107,2
662,J0556.0-4353,J0556.2-4352,J0556.2-4352,J0556.2-4352,J0556.2-4352,2
665,J0558.1-3838,J0558.0-3837,J0558.0-3837,J0558.0-3837,J0558.0-3837,2
666,J0558.6-7459,J0558.8-7459,J0558.8-7459,J0558.8-7459,J0558.8-7459,2
669,J0600.9-3943,J0600.6-3939,J0600.6-3939,J0600.6-3939,J0600.6-3939,2
670,J0601.0+3837,J0601.0+3838,J0601.0+3838,J0601.0+3838,J0601.0+3838,2
671,J0601.2-7036,J0601.1-7035,J0601.1-7035,J0601.1-7035,J0601.1-7035,2
673,J0602.2+5314,J0602.0+5315,J0602.0+5315,J0602.0+5315,J0602.0+5315,3
676,J0603.8+2155,J0603.9+2159,J0603.9+2159,J0603.9+2159,J0603.9+2159,2
677,J0604.1-4817,J0604.1-4816,J0604.1-4816,J0604.1-4816,J0604.1-4816,2
678,J0604.7-4849,J0604.5-4851,J0604.5-4851,J0604.5-4851,J0604.5-4851,2
679,J0605.0+3756,J0605.1+3757,J0605.1+3757,J0605.1+3757,J0605.1+3757,3
682,J0606.4-4729,J0606.5-4730,J0606.5-4730,J0606.5-4730,J0606.5-4730,2
683,J0607.4+4739,J0607.4+4739,J0607.4+4739,J0607.4+4739,J0607.4+4739,2
684,J0608.0-0835,J0608.0-0835,J0608.0-0835,J0608.0-0835,J0608.0-0835,2
685,J0608.1-1522,J0608.1-1521,J0608.1-1521,J0608.1-1521,J0608.1-1521,2
690,J0609.4-0248,J0609.2-0247,J0609.2-0247,J0609.2-0247,J0609.2-0247,2
693,J0610.2-2059,J0610.2-2100,J0610.2-2100,J0610.2-2100,J0610.2-2100,3
695,J0611.1-6100,J0610.9-6054,J0610.9-6054,J0610.9-6054,J0610.9-6054,2
696,J0611.2+4323,J0611.1+4325,J0611.1+4325,J0611.1+4325,J0611.1+4325,2
698,J0611.7+2759,J0611.6+2803,J0611.6+2803,J0611.6+2803,J0611.6+2803,3
699,J0612.8+4122,J0612.8+4122,J0612.8+4122,J0612.8+4122,J0612.8+4122,2
700,J0613.8-0201,J0613.7-0201,J0613.7-0201,J0613.7-0201,J0613.7-0201,3
701,J0614.1-3329,J0614.1-3329,J0614.1-3329,J0614.1-3329,J0614.1-3329,3
702,J0615.4-3116,J0615.3-3117,J0615.3-3117,J0615.3-3117,J0615.3-3117,2
703,J0617.2+5701,J0617.2+5701,J0617.2+5701,J0617.2+5701,J0617.2+5701,2
704,J0617.2+2234e,J0617.2+2234e,J0617.2+2234e,J0617.2+2234e,J0617.2+2234e,2
705,J0617.6-1717,J0617.7-1715,J0617.7-1715,J0617.7-1715,J0617.7-1715,2
706,J0618.0+7819,J0618.1+7819,J0618.1+7819,J0618.1+7819,J0618.1+7819,3
707,J0618.2-2429,J0618.1-2428,J0618.1-2428,J0618.1-2428,J0618.1-2428,3
710,J0620.4+2644,J0620.7+2643,J0620.7+2643,J0620.7+2643,J0620.7+2643,3
711,J0621.0+2514,J0621.2+2512,J0621.2+2512,J0621.2+2512,J0621.2+2512,3
712,J0622.2+3747,J0622.2+3749,J0622.2+3749,J0622.2+3749,J0622.2+3749,2
713,J0622.4-2606,J0622.3-2605,J0622.3-2605,J0622.3-2605,J0622.3-2605,2
714,J0622.9+3326,J0622.9+3326,J0622.9+3326,J0622.9+3326,J0622.9+3326,2
716,J0623.3+3043,J0623.2+3044,J0623.2+3044,J0623.2+3044,J0623.2+3044,3
717,J0625.2+4440,J0625.3+4439,J0625.3+4439,J0625.3+4439,J0625.3+4439,2
718,J0626.0-5436,J0625.8-5441,J0625.8-5441,J0625.8-5441,J0625.8-5441,2
719,J0626.6-4259,J0626.4-4259,J0626.4-4259,J0626.4-4259,J0626.4-4259,3
721,J0627.0-3529,J0627.0-3529,J0627.0-3529,J0627.0-3529,J0627.0-3529,2
724,J0629.0-6248,J0628.8-6250,J0628.8-6250,J0628.8-6250,J0628.8-6250,2
725,J0629.4-1959,J0629.3-1959,J0629.3-1959,J0629.3-1959,J0629.3-1959,2
727,J0630.3+6906,J0628.6+6900,J0628.6+6900,J0628.6+6900,J0628.6+6900,2
728,J0630.9-2406,J0630.9-2406,J0630.9-2406,J0630.9-2406,J0630.9-2406,2
729,J0631.2+2019,J0631.1+2020,J0631.1+2020,J0631.1+2020,J0631.1+2020,2
730,J0631.5+1036,J0631.5+1036,J0631.5+1036,J0631.5+1036,J0631.5+1036,2
732,J0633.7+0632,J0633.7+0632,J0633.7+0632,J0633.7+0632,J0633.7+0632,2
733,J0633.9+1746,J0633.9+1746,J0633.9+1746,J0633.9+1746,J0633.9+1746,2
735,J0634.7-2334,J0634.9-2335,J0634.9-2335,J0634.9-2335,J0634.9-2335,2
736,J0635.7-7517,J0635.6-7518,J0635.6-7518,J0635.6-7518,J0635.6-7518,2
740,J0638.6+7324,J0638.6+7320,J0638.6+7320,J0638.6+7320,J0638.6+7320,2
742,J0640.0-1252,J0640.0-1253,J0640.0-1253,J0640.0-1253,J0640.0-1253,3
745,J0641.8-0319,J0641.7-0320,J0641.7-0320,J0641.7-0320,J0641.7-0320,3
746,J0643.2+0859,J0643.3+0857,J0643.3+0857,J0643.3+0857,J0643.3+0857,2
747,J0643.4-5358,J0643.2-5356,J0643.2-5356,J0643.2-5356,J0643.2-5356,2
748,J0644.3-6713,J0644.4-6712,J0644.4-6712,J0644.4-6712,J0644.4-6712,3
750,J0644.6-2853,J0644.6-2853,J0644.6-2853,J0644.6-2853,J0644.6-2853,2
751,J0645.9-3914,J0646.7-3913,J0646.7-3913,J0646.7-3913,J0646.7-3913,2
752,J0646.4-5452,J0646.4-5455,J0646.4-5455,J0646.4-5455,J0646.4-5455,3
753,J0647.0-5134,J0647.0-5138,J0647.0-5138,J0647.0-5138,J0647.0-5138,3
754,J0647.1-4415,J0647.7-4418,J0647.7-4418,J0647.7-4418,J0647.7-4418,3
755,J0647.6-6058,J0647.7-6058,J0647.7-6058,J0647.7-6058,J0647.7-6058,3
758,J0648.1+1606,J0648.1+1605,J0648.1+1605,J0648.1+1605,J0648.1+1605,2
759,J0648.1-3045,J0648.0-3045,J0648.0-3045,J0648.0-3045,J0648.0-3045,2
760,J0648.8+1516,J0648.7+1516,J0648.7+1516,J0648.7+1516,J0648.7+1516,2
761,J0648.8-1740,J0648.4-1743,J0648.4-1743,J0648.4-1743,J0648.4-1744,2
762,J0649.6-3138,J0649.5-3139,J0649.5-3139,J0649.5-3139,J0649.5-3139,3
763,J0650.4-1636,J0650.2-1636,J0650.2-1636,J0650.2-1636,J0650.2-1636,2
764,J0650.5+2055,J0650.6+2055,J0650.6+2055,J0650.6+2055,J0650.6+2055,3
765,J0650.7+2503,J0650.7+2503,J0650.7+2503,J0650.7+2503,J0650.7+2503,2
767,J0651.3+4014,J0651.0+4013,J0651.0+4013,J0651.0+4013,J0651.0+4013,3
768,J0652.0-4808,J0652.1-4813,J0652.1-4813,J0652.1-4813,J0652.1-4813,3
769,J0653.6+2817,J0653.7+2815,J0653.7+2815,J0653.7+2815,J0653.7+2815,3
770,J0654.4+4514,J0654.4+4514,J0654.4+4514,J0654.4+4514,J0654.4+4514,2
771,J0654.4+5042,J0654.3+5042,J0654.3+5042,J0654.3+5042,J0654.3+5042,2
772,J0654.5+0926,J0654.3+0923,J0654.3+0923,J0654.3+0923,J0654.3+0923,2
773,J0656.2-0323,J0656.3-0322,J0656.3-0322,J0656.3-0322,J0656.3-0322,2
774,J0656.4+4232,J0656.3+4235,J0656.3+4235,J0656.3+4235,J0656.3+4235,2
776,J0658.3-5832,J0658.1-5840,J0658.1-5840,J0658.1-5840,J0658.1-5840,2
777,J0658.6+0636,J0658.6+0636,J0658.6+0636,J0658.6+0636,J0658.6+0636,2
780,J0659.5+1414,J0659.7+1416,J0659.7+1416,J0659.7+1416,J0659.7+1416,2
781,J0700.0+1709,J0659.9+1709,J0659.9+1709,J0659.9+1709,J0659.9+1709,3
782,J0700.2+1304,J0700.2+1304,J0700.2+1304,J0700.2+1304,J0700.2+1304,3
783,J0700.3-6310,J0700.1-6311,J0700.1-6311,J0700.1-6311,J0700.1-6311,2
784,J0700.6-6610,J0700.5-6610,J0700.5-6610,J0700.5-6610,J0700.5-6610,2
786,J0701.4-4634,J0701.5-4634,J0701.5-4634,J0701.5-4634,J0701.5-4634,2
787,J0702.7-1952,J0702.7-1951,J0702.7-1951,J0702.7-1951,J0702.7-1951,2
788,J0703.4-3914,J0703.2-3914,J0703.2-3914,J0703.2-3914,J0703.2-3914,3
795,J0706.1-4849,J0705.7-4848,J0705.7-4848,J0705.7-4848,J0705.7-4848,2
796,J0706.5+3744,J0706.5+3744,J0706.5+3744,J0706.5+3744,J0706.5+3744,2
797,J0707.0+7741,J0706.8+7742,J0706.8+7742,J0706.8+7742,J0706.8+7742,2
798,J0707.2+6101,J0706.9+6109,J0706.9+6109,J0706.9+6109,J0706.9+6109,2
802,J0708.9+2239,J0709.1+2241,J0709.1+2241,J0709.1+2241,J0709.1+2241,3
803,J0709.7-0256,J0709.7-0255,J0709.7-0255,J0709.7-0255,J0709.7-0255,3
804,J0710.3+5908,J0710.4+5908,J0710.4+5908,J0710.4+5908,J0710.4+5908,2
805,J0710.5+4732,J0710.9+4733,J0710.9+4733,J0710.9+4733,J0710.9+4733,2
809,J0712.6+5033,J0712.7+5033,J0712.7+5033,J0712.7+5033,J0712.7+5033,2
810,J0713.9+1933,J0713.8+1935,J0713.8+1935,J0713.8+1935,J0713.8+1935,2
813,J0718.7-4319,J0718.6-4319,J0718.6-4319,J0718.6-4319,J0718.6-4319,2
815,J0719.3+3307,J0719.3+3307,J0719.3+3307,J0719.3+3307,J0719.3+3307,2
816,J0720.0-4010,J0719.7-4012,J0719.7-4012,J0719.7-4012,J0719.7-4012,3
817,J0721.4+0404,J0721.3+0405,J0721.3+0405,J0721.3+0405,J0721.3+0405,2
819,J0721.9+7120,J0721.9+7120,J0721.9+7120,J0721.9+7120,J0721.9+7120,2
821,J0723.2-0728,J0723.0-0732,J0723.0-0732,J0723.0-0732,J0723.0-0732,3
822,J0723.7+2050,J0723.7+2050,J0723.7+2050,J0723.7+2050,J0723.7+2050,3
823,J0724.1+2857,J0723.5+2900,J0723.5+2900,J0723.5+2900,J0723.5+2900,2
824,J0725.2+1425,J0725.2+1425,J0725.2+1425,J0725.2+1425,J0725.2+1425,2
829,J0725.8-0054,J0725.8-0054,J0725.8-0054,J0725.8-0054,J0725.8-0054,2
830,J0726.6-4727,J0726.4-4727,J0726.4-4727,J0726.4-4727,J0726.4-4727,2
831,J0728.0+4828,J0728.2+4827,J0728.2+4827,J0728.2+4827,J0728.2+4827,3
832,J0729.5-3127,J0729.1-3131,J0729.1-3131,J0729.1-3131,J0729.1-3131,2
