,4fgldr2,4fgldr2_features,4fgldr2_labels,3fgl,3fgl-cls1,4fgldr1,4fgldr1-cls1,4fgldr2-cls1,4fgldr3,4fgldr3-cls1,4fgldr4,4fgldr4-cls1
32,J0023.7-6820,"[2.8068578243255615, 2.7651703357696533, 2.6003241539001465, 33.363433837890625, -28.58846504812739, -28.34462566842529, -28.50830220295645, -28.381260758741053, -24.26161156654865, 0.08253295719623566, 0.37679290771484375, 1.512491226196289, 14.776670455932617, -0.25648498321627533, -0.7249892936159192, -0.8096251970491858, -0.6735539141082802, -0.9999990868614821, 0.6544393915332457]",[1],J0021.6-6835,bcu,J0023.7-6820,bcu,fsrq,J0023.7-6820,fsrq,J0023.7-6820,fsrq
33,J0023.7+4457,"[2.436455011367798, 2.385298490524292, 2.2252938747406006, 98.55006408691406, -30.169566962782707, -29.942735760187976, -28.312688452571035, -29.995746465780798, -23.827747839182486, 0.07231488078832626, 0.7025848031044006, 1.8864960670471191, 19.001428604125977, 0.992833303607956, -0.5952920143290357, -0.6818731541437494, -0.7045446858837568, -0.7880999385905176, -0.6991277651460116]",[1],J0023.5+4454,fsrq,J0023.7+4457,fsrq,fsrq,J0023.7+4457,fsrq,J0023.7+4457,fsrq
34,J0024.7+0349,"[2.3913183212280273, 2.3798794746398926, 2.222480297088623, 88.12024688720703, -31.454716161004203, -31.17244901715675, -28.45500805416407, -31.286470820316293, -24.14524360920554, 0.11269627511501312, 1.9035720825195312, 1.1298660039901733, 6.049645900726318, 0.157297587283006, 0.9870869830877056, -0.7852144209228163, -0.5584933724567692, -0.7075815403035993, -0.9985094470522832]",[1],J0024.4+0350,fsrq,J0024.7+0349,fsrq,fsrq,J0024.7+0349,fsrq,J0024.7+0349,fsrq
35,J0026.6-4600,"[1.9491358995437622, 1.9325785636901855, 1.8210687637329102, 13.78029727935791, -33.29011272544514, -33.11419158406102, -28.707264431932213, -33.17960387181281, -24.247201544951963, 0.01120657380670309, 0.40731507539749146, 0.2010316103696823, 10.381613731384277, 0.9989875964761049, -0.6141689026449126, -0.476602377177335, -0.3712318474137132, -0.706533419674744, 0.0599066658879395]",[1],J0026.7-4603,bll,J0026.6-4600,bll,bll,J0026.6-4600,bll,J0026.6-4600,bll
36,J0028.1+7505,"[2.137679100036621, 1.7521333694458008, 0.8664110898971558, 11.28921127319336, -32.68826331626188, -32.16978897798481, -28.712998948114212, -32.2413500741228, -23.683384417480102, 0.4220649003982544, 0.196687251329422, 3.7208847999572754, 10.176467895507812, -0.6653655458268527, -0.8178985950466257, -0.057942919747278734, -0.41962945225540693, -0.6865968483635996, -0.9999117930957804]",[1],J0028.6+7507,bcu,J0028.1+7505,bcu,bcu,J0028.1+7505,bcu,J0028.1+7505,bcu
37,J0028.4+2001,"[2.4137485027313232, 2.358516216278076, 2.0745885372161865, 81.12262725830078, -29.961219276330308, -29.63289422610061, -28.259270986352632, -29.702206270810713, -23.73359192608957, 0.11103255301713943, 0.5678475499153137, 2.603989839553833, 19.10028839111328, 0.9977168231050907, -0.5401004315414695, -0.7225931255881917, -0.6230960255256056, -0.9551746855134685, -0.19898396861258427]",[1],J0028.8+1951,bcu,J0028.4+2001,fsrq,fsrq,J0028.5+2001,fsrq,J0028.5+2001,fsrq
38,J0029.0-7044,"[2.218125581741333, 2.1774933338165283, 1.9634063243865967, 45.47019958496094, -31.72582119822626, -31.535228356718125, -28.48490902390054, -31.55373293412348, -23.983630793643616, 0.03533171862363815, 0.44878333806991577, 0.7625517845153809, 18.45952606201172, 0.9940454710802227, -0.6991266698770454, -0.5723875709708247, -0.4245524365525784, -0.8607938352301758, -0.6257313554318463]",[1],J0029.1-7045,bll,J0029.0-7044,bll,bll,J0029.0-7044,bll,J0029.0-7044,bll
39,J0030.2-1647,"[1.7863624095916748, 1.6412055492401123, 1.3751189708709717, 34.82960510253906, -33.612070777056566, -33.21020412264725, -28.362839578184648, -33.30898486117335, -24.045167705892105, 0.13414232432842255, 0.6729927659034729, 2.198768377304077, 14.141412734985352, 0.995588240948069, -0.11536582073645645, -0.13051437735347363, -0.28269698794991643, -0.4818968345830662, -0.3485532594526686]",[1],J0030.2-1646,bcu,J0030.2-1647,bll,bll,J0030.2-1647,bll,J0030.2-1647,bll
40,J0030.3-4224,"[2.5236237049102783, 2.5033674240112305, 2.420591115951538, 78.6083755493164, -29.305732912882355, -29.102825596678034, -28.1937297782589, -29.17621631007229, -23.67390273607973, 0.05095110833644867, 0.2983439266681671, 2.405820608139038, 38.76677703857422, -0.3617111333189858, -0.6555548752997921, -0.7250156064720177, -0.7067396500149246, -0.9555945154410782, 0.17428092342426152]",[1],J0030.3-4223,fsrq,J0030.3-4224,fsrq,fsrq,J0030.3-4224,fsrq,J0030.3-4224,fsrq
41,J0030.4+0451,"[2.083371877670288, 1.7822301387786865, 0.7914667725563049, 9.162074089050293, -29.494137736675256, -28.90645559137966, -27.528781933814297, -28.97148529036568, -22.438841640493223, 0.4390549659729004, 0.0, 31.995033264160156, 119.74320983886719, -0.05664254765185734, -0.10849979249056417, -0.4316077407131804, -0.735676703250798, -0.951728531059426, -0.9997945923108664]",[0],J0030.4+0451,PSR,J0030.4+0451,PSR,PSR,J0030.4+0451,MSP,J0030.4+0451,MSP
