,3fgl,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl,4fgldr3,4fgldr3-cls1,4fgldr3-3fgl,4fgldr4,4fgldr4-cls1,4fgldr4-3fgl
67,J1447.3-5800,J1447.4-5757,,J1447.3-5800,J1447.4-5757,,J1447.3-5800,J1447.4-5757,PSR,J1447.3-5800,J1447.4-5757,PSR,J1447.3-5800
68,J0426.7+5437,J0426.5+5434,,J0426.7+5437,J0426.5+5434,,J0426.7+5437,J0426.5+5434,,J0426.7+5437,J0426.5+5434,,J0426.7+5437
69,J0858.6-4357,,,,,,,,,,,,
70,J0953.7-1510,J0953.6-1509,,J0953.7-1510,J0953.6-1509,,J0953.7-1510,J0953.6-1509,,J0953.7-1510,J0953.6-1509,,J0953.7-1510
71,J1901.5-0126,J1901.4-0126,PSR,J1901.5-0126,J1901.4-0126,PSR,J1901.5-0126,J1901.4-0126,MSP,J1901.5-0126,J1901.4-0126,MSP,J1901.5-0126
72,J1624.1-4700,,,,,,,,,,,,
73,J0838.8-2829,J0838.7-2827,unk,J0838.8-2829,J0838.7-2827,bin,J0838.8-2829,J0838.7-2827,bin,J0838.8-2829,J0838.7-2827,bin,J0838.8-2829
74,J1852.8+0158,,,,J1852.6+0203,,J1852.8+0158,J1852.6+0203,,J1852.8+0158,J1852.6+0203,,J1852.8+0158
75,J1317.6-6315,J1317.5-6316,,J1317.6-6315,J1317.5-6316,,J1317.6-6315,J1317.5-6316,,J1317.6-6315,J1317.5-6316,,J1317.6-6315
76,J1231.6-5113,J1231.6-5116,,J1231.6-5113,J1231.6-5116,,J1231.6-5113,J1231.6-5116,PSR,J1231.6-5113,J1231.6-5116,PSR,J1231.6-5113
77,J1641.5-5319,J1641.2-5317,PSR,J1641.5-5319,J1641.2-5317,PSR,J1641.5-5319,J1641.2-5317,PSR,J1641.5-5319,J1641.2-5317,PSR,J1641.5-5319
78,J1120.6+0713,J1120.6+0713,bcu,J1120.6+0713,J1120.6+0713,bcu,J1120.6+0713,J1120.6+0713,bcu,J1120.6+0713,J1120.6+0713,bcu,J1120.6+0713
79,J1026.2-5730,J1026.2-5731,,J1026.2-5730,J1026.2-5731,,J1026.2-5730,J1026.2-5731,,J1026.2-5730,J1026.2-5731,,J1026.2-5730
80,J1843.7-0322,J1843.7-0326,,J1843.7-0322,J1843.7-0326,,J1843.7-0322,J1843.7-0326,,J1843.7-0322,J1843.7-0326,,J1843.7-0322
81,J0223.6+6204,J0222.4+6156e,snr,J0223.6+6204,J0222.4+6156e,snr,J0223.6+6204,J0222.4+6156e,snr,J0223.6+6204,,,
82,J0737.2-3233,J0736.9-3231,,J0737.2-3233,J0736.9-3231,,J0737.2-3233,J0736.9-3231,,J0737.2-3233,J0736.9-3231,,J0737.2-3233
83,J1503.5-5801,J1503.7-5801,bcu,J1503.5-5801,J1503.7-5801,bcu,J1503.5-5801,J1503.7-5801,bcu,J1503.5-5801,J1503.7-5801,bcu,J1503.5-5801
84,J0318.1+0252,J0318.2+0254,PSR,J0318.1+0252,J0318.2+0254,PSR,J0318.1+0252,J0318.2+0254,MSP,J0318.1+0252,J0318.2+0254,MSP,J0318.1+0252
85,J1740.5-2726,,,,,,,,,,,,
86,J2233.1+6542,,,,,,,,,,,,
