,4FGLDR3,CLASS1-4FGLDR3,4FGLDR3-3FGL
599,J0226.3-1845,bcu,
600,J0226.5+0938,fsrq,J0226.3+0941
601,J0226.5-4441,bll,J0226.5-4442
602,J0226.6-0553,bcu,
603,J0226.7+2312,bcu,
604,J0226.9+7744,,
605,J0227.0-1739,bcu,
606,J0227.2+3928,fsrq,J0226.0+3922
607,J0227.3+0201,bll,J0227.2+0201
608,J0227.8+2246,bcu,J0228.0+2248
609,J0228.0-3026,fsrq,
610,J0228.1+8208,bcu,J0228.5+8213
611,J0228.2-3102,bcu,J0228.7-3106
612,J0228.3-5547,fsrq,J0228.3-5545
613,J0228.5-2234,bcu,
614,J0228.7+6718,fsrq,
615,J0229.5-3644,fsrq,J0229.3-3643
616,J0230.0-5236,bcu,
617,J0230.3+1713,,
618,J0230.4-1140,,
619,J0230.8+4032,fsrq,J0230.8+4032
620,J0231.0+3505,,
621,J0231.2-5754,bll,J0230.6-5757
622,J0231.2-4745,fsrq,
623,J0231.8+1322,fsrq,
624,J0232.5-1118,bll,
625,J0232.8+2018,bll,J0232.8+2016
626,J0232.9+2608,bll,J0232.9+2606
627,J0233.0+3740,bcu,
628,J0233.5+0654,bcu,J0232.6+0646
629,J0233.9+8041,bcu,
630,J0234.3-0628,bll,J0234.2-0629
631,J0235.3+5650,,J0235.7+5647
632,J0235.6-2939,bll,
633,J0236.8-6136,fsrq,J0236.7-6136
634,J0237.1-0714,bcu,
635,J0237.3+2000,bll,
636,J0237.6-3602,bll,J0237.5-3603
637,J0237.6+0923,bcu,
638,J0237.7+0206,rdg,
639,J0237.8+5238,,J0238.0+5237
640,J0237.8+2848,FSRQ,J0237.9+2848
641,J0238.1-3905,bll,J0238.3-3904
642,J0238.1-2621,,
643,J0238.2+1531,bcu,
644,J0238.4-3116,bll,J0238.4-3117
645,J0238.6+1637,BLL,J0238.6+1636
646,J0238.7+2555,bll,J0239.0+2555
647,J0239.1+6634,,
648,J0239.5+1326,bcu,J0239.4+1326
649,J0239.5-1353,bcu,
650,J0239.7+0415,fsrq,
651,J0240.2-0248,,J0240.0-0253
652,J0240.5+6113,HMB,J0240.5+6113
653,J0240.6+3528,bcu,
654,J0240.8-3401,bcu,
655,J0241.0-0505,bll,
656,J0241.3+6543,bll,J0241.3+6542
657,J0241.9-1603,bcu,
658,J0242.3+1102,fsrq,J0242.3+1059
659,J0242.3+5216,bcu,
660,J0242.6+1735,bcu,
661,J0242.6-0000,sbg,J0242.7-0001
662,J0242.9+0045,bll,
663,J0243.1-4218,,
664,J0243.2-0550,fsrq,
665,J0243.4+7119,bll,J0243.5+7119
666,J0243.7+0321,bcu,
667,J0244.6-5819,bll,J0244.8-5818
668,J0244.7+1316,bcu,
669,J0245.0+4755,,J0244.4+4745
670,J0245.1-0257,bll,
671,J0245.4-5950,bcu,
672,J0245.4+2408,fsrq,J0245.4+2410
673,J0245.5-4502,fsrq,
674,J0245.9-4650,fsrq,J0245.9-4651
675,J0246.0-4838,,
676,J0246.6-3348,bcu,
677,J0248.0+2232,bcu,
678,J0248.4+6021,PSR,J0248.5+6022
679,J0248.6+4230,MSP,J0248.5+4232
680,J0248.6+5131,bcu,J0248.4+5130
681,J0249.2+1652,,
682,J0249.7+4500,bcu,
683,J0250.2-8224,bcu,J0244.4-8224
684,J0250.3-3422,bcu,
685,J0250.6+1712,bll,J0250.6+1713
686,J0250.6+8435,bcu,J0249.1+8438
687,J0250.7+5630,bcu,J0250.6+5630
688,J0251.0+2605,MSP,J0251.1+2603
689,J0251.1-1830,,J0251.1-1829
690,J0251.4+4646,,
691,J0251.5-5958,fsrq,J0251.5-5959
692,J0251.6+0628,,
693,J0252.0-3657,,
694,J0252.3-2707,,
695,J0252.8-2219,fsrq,J0252.8-2218
696,J0252.9+3834,fsrq,J0252.3+3830
697,J0253.2-5441,fsrq,J0253.1-5438
698,J0253.2-0124,bll,J0253.0-0125
699,J0253.3+5132,unk,
700,J0253.5+3216,fsrq,J0253.5+3216
701,J0253.9+5103,fsrq,J0253.8+5104
702,J0254.5-7511,bcu,
703,J0255.8+0534,bll,J0255.8+0532
704,J0256.2-0408,,
705,J0256.3+0334,bll,J0256.3+0335
706,J0257.0+3358,bcu,
707,J0257.8+7044,,
708,J0257.9-1215,fsrq,J0257.8-1216
709,J0258.1+2030,bll,J0258.0+2030
710,J0259.0+0552,,J0258.9+0552
711,J0259.3+5453,bcu,
712,J0259.4+0308,bcu,
713,J0259.4+0746,fsrq,J0259.5+0746
714,J0259.5+1924,fsrq,
715,J0259.5-1705,bcu,
716,J0300.0-5908,,
717,J0300.4+3450,,
718,J0301.0-1652,bll,J0301.4-1652
719,J0301.2+2546,bcu,
720,J0301.4-3124,fsrq,
721,J0301.6-7155,fsrq,J0301.8-7157
722,J0301.6-5617,,
723,J0301.9-2731,bcu,J0301.8-2721
724,J0302.5+3354,,
725,J0302.7+5717,,
726,J0303.2+3149,bcu,J0303.0+3150
727,J0303.2+5336,,J0302.0+5335
728,J0303.3-7913,fsrq,J0302.5-7915
729,J0303.3+0555,bll,
730,J0303.4-2407,BLL,J0303.4-2407
731,J0303.4-5232,bcu,
732,J0303.6+4716,bll,J0303.6+4716
733,J0303.6+6711c,,
734,J0303.6-6211,fsrq,J0303.7-6211
