,1FGL,CLASS1-1FGL,1FGL-BSL
563,J1034.7+7353,,
564,J1036.2-6719,,
565,J1037.7+5711,bzb,
566,J1037.7-2820,agu,
567,J1040.5+0616,,
568,J1040.9-1205,,
569,J1043.1+2404,bzb,
570,J1044.5-5737,PSR,
571,J1045.2-5942,,J1045.6-5937
572,J1048.2-5832,PSR,J1047.6-5834
573,J1048.5+7239,agu,
574,J1048.7+2335,,
575,J1048.7+8054,bzq,
576,J1048.8+7145,bzq,
577,J1051.9+0106,bzb,
578,J1053.6+4927,bzb,J1053.7+4926
579,J1054.5+2212,bzb,J1054.5+2212
580,J1055.6-7611,,
581,J1057.2-6026c,,
582,J1057.9-5226,PSR,J1058.1-5225
583,J1058.1-8006,bzb,J1100.2-8000
584,J1058.4+0134,bzq,J1057.8+0138
585,J1058.6+5628,bzb,J1058.9+5629
586,J1059.3-1132,bzb,
587,J1101.3+1009,,
588,J1103.7-2329,bzb,
589,J1103.9-5355,agu,
590,J1104.0-6047c,,
591,J1104.4+0734,bzb,
592,J1104.4+3812,bzb,J1104.5+3811
593,J1106.2-1752,,
594,J1106.5+2809,agu,
595,J1106.7-6150c,,
596,J1107.8+1502,bzb,
597,J1108.3+0210,agn,
598,J1109.9+7134,bzb,
599,J1110.2-1839,agu,
600,J1110.3-1622,,
601,J1110.4-4518,,
602,J1112.1-6041c,,
603,J1112.3+0458,,
604,J1112.8+3444,bzq,
605,J1115.2-6124c,,
606,J1117.0-5339,,
607,J1117.1+2013,bzb,
608,J1118.0+5354,bzb,
609,J1119.4-6127c,spp,
610,J1119.5-3044,bzb,
611,J1119.9-2205,,
612,J1120.4+0710,agu,
613,J1121.0+4209,bzb,
614,J1121.5-0554,bzq,
615,J1122.9-6415,agu,J1123.0-6416
616,J1123.6-2528,,
617,J1123.6-4555,,
618,J1123.9+2339,bzb,
619,J1124.4-3654,,
620,J1124.6-5916,PSR,
621,J1125.5-3559,agu,
622,J1126.0-0741,bzb,
623,J1126.8-1854,bzq,
624,J1127.7-6244c,,
625,J1129.2-0528,,
626,J1129.3+3757,,
627,J1130.2-1447,bzq,J1129.8-1443
628,J1133.1+0033,bzb,
629,J1134.8-6055,spp,
630,J1136.0-6226c,,
631,J1136.2+6739,bzb,
632,J1136.5-7004,,
633,J1136.6+7009,bzb,
634,J1136.9+2551,bzb,
635,J1138.0+4109,,
636,J1141.8-1403,,
637,J1141.8+1549,agu,
638,J1142.7+0127,,
639,J1146.8+4004,bzq,
640,J1146.9-3812,bzq,J1146.7-3808
641,J1147.7-0722,bzq,
642,J1150.2+2419,bzb,
643,J1150.5+4152,bzb,
644,J1151.4-1345,agu,
645,J1151.6+5857,bzb,
646,J1152.1+6027,,
647,J1152.2-0836,bzq,
648,J1153.4-8108,,
649,J1154.0-0008,bzb,
650,J1154.2-3242,agu,
651,J1156.7-0751,,
652,J1159.4+2914,bzq,J1159.2+2912
653,J1159.4-2149,bzq,
654,J1159.8+0200,,
655,J1202.9+6032,agn,
656,J1204.3-0714,bzb,
657,J1204.4+1139,bzb,
658,J1205.9-2637,bzq,
659,J1207.0-5055,,
660,J1207.4-6239,,
661,J1209.3+5444,bzq,
662,J1209.4+4119,bzb,
663,J1209.7+1806,bzq,
664,J1213.6-4424,,
665,J1213.7-6240c,spp,
666,J1214.4-2305,,
667,J1214.9+5004,bzb,
668,J1217.7+3007,bzb,J1218.0+3006
669,J1218.4-0128,,
670,J1219.8-0309,bzb,
671,J1220.2+3432,bzb,
672,J1221.3+3008,bzb,
673,J1221.4-0635,,
674,J1221.5+2814,bzb,J1221.7+2814
675,J1221.5+7106,bzq,
676,J1222.5+0415,bzq,
677,J1223.4-3034,,
678,J1224.2+5012,,
679,J1224.7+2121,bzq,
680,J1224.8+8044,bzb,
681,J1225.8+4336,agu,
682,J1226.0+2954,,
683,J1226.7-1332,bzb,
684,J1226.8+0638,bzb,
685,J1227.9-4852,,
686,J1228.2+4855,bzq,
687,J1229.1+0203,bzq,J1229.1+0202
688,J1230.4+2520,bzb,
689,J1230.8+1223,agn,
690,J1231.1-1410,,J1231.5-1410
691,J1231.6+2850,bzb,
692,J1232.2-5118,,
693,J1233.6-0146,bzb,
694,J1234.0-5736,,
695,J1239.5+0443,bzq,
696,J1240.3-7154,,
697,J1241.6-6240c,,
698,J1243.1+3627,bzb,
699,J1245.8-0632,,
700,J1246.7-2545,bzq,J1246.6-2544
701,J1248.2+5820,bzb,
702,J1249.3-2812,,
703,J1249.8+3706,,
704,J1250.9-4940,,
705,J1251.3+1044,,
706,J1253.0+5301,bzb,J1253.4+5300
707,J1253.7+0326,bzb,
708,J1254.0+6236,bzb,
709,J1254.4+2209,,
710,J1256.1-5922,,
711,J1256.2-0547,BZQ,J1256.1-0547
712,J1256.5-1148,agu,
713,J1256.9+3650,,
714,J1256.9-6337c,,
715,J1258.3+2125,,
716,J1258.3+3227,bzq,
717,J1258.4-1802,bzq,
718,J1258.7-2221,bzq,
719,J1300.7-5547,,
720,J1300.9-3745,,
721,J1301.4-6245c,,
722,J1301.5-2046,,
723,J1301.8+0837,,
724,J1302.3-3255,,
725,J1303.0+2433,bzb,
726,J1304.0-4622,bzq,
727,J1304.3-4352,,
728,J1305.4-4928,agn,
729,J1306.0+7852,agu,
730,J1306.4-6038,,
731,J1307.0-4030,,
732,J1307.3-6701,agu,
733,J1307.6-4259,,
734,J1308.5+3550,bzq,
735,J1309.2+1156,bzb,
736,J1309.5+4304,bzb,
737,J1309.9-6229c,,
738,J1310.6+3222,bzq,J1310.6+3220
739,J1311.7-3429,,J1311.9-3419
740,J1312.4+4827,bzq,
741,J1312.4-2156,bzb,
742,J1312.6+0048,,
743,J1314.7+2346,bzb,
744,J1314.9-5338,,
745,J1315.0-6235c,,
746,J1315.6-0729,,
747,J1316.1-3341,bzq,
748,J1317.5-6318c,,
749,J1317.8+3425,bzq,
750,J1320.1-4007,,
751,J1320.6-6258c,,
752,J1321.1+2214,bzq,
753,J1321.3+8310,agu,
754,J1322.0-4515,,
755,J1322.1+0838,,
756,J1322.7-0943,bzq,
757,J1323.1+2942,,
758,J1325.6-4300,agn,J1325.4-4303
759,J1326.6+2213,bzq,
760,J1327.0-5257,agu,J1326.6-5302
761,J1328.2-4729,,
762,J1329.2-5605,agu,J1328.8-5604
763,J1330.7-7006,agu,
764,J1331.0+5202,agn,
765,J1331.0+6957,,
766,J1331.9-0506,bzq,J1331.7-0506
767,J1332.6-1255,bzq,
768,J1332.9+4728,bzq,
769,J1333.2+5056,agu,J1333.3+5058
770,J1333.4-4036,,
771,J1334.2-4448,,
772,J1337.7-1255,bzq,
773,J1338.9+1153,bzb,
774,J1340.5-0413,,
775,J1340.6+4406,bzb,
776,J1341.1-2045,,
777,J1341.3+3951,bzb,
778,J1342.7+5753,,
779,J1343.7-6239c,spp,
780,J1344.2-1723,bzq,
781,J1345.4+4453,bzq,
782,J1346.0+0703,agu,
783,J1347.8-3751,bzq,
784,J1350.8-6212c,spp,
785,J1351.0+3035,bzq,
786,J1351.5+1115,bzb,
787,J1351.8-1523,,
788,J1353.3+1434,bzb,
789,J1353.6-6640,,
790,J1354.9-1041,bzq,J1355.0-1044
791,J1358.1+7646,bzq,
792,J1359.1+5539,bzq,
793,J1400.1-3743,bzb,
794,J1400.9-5559,agu,
795,J1405.1-6123c,,
796,J1405.5-5846,,
797,J1406.2-2510,,
798,J1407.5-4256,agu,
799,J1407.5-0944,,
800,J1407.9-2928,,
801,J1408.9-0751,bzq,
802,J1410.3-6128c,spp,
803,J1412.6+7406,,
804,J1413.4-6205,PSR,J1413.1-6203
805,J1416.2-1001,,
806,J1417.7-4407,,
807,J1417.7-5030,,
808,J1417.8+2541,bzb,
809,J1418.3-0235,bzb,
810,J1418.7-6057,PSR,J1418.8-6058
811,J1419.7+7731,,
812,J1420.1-6048,PSR,
813,J1421.0+5421,,
814,J1422.2+5757,bzb,
815,J1422.7+3743,bzb,
816,J1424.5-7847,bzq,
817,J1425.0+3614,bzb,
818,J1426.0+3403,bzb,
819,J1426.9+2347,bzb,J1427.1+2347
820,J1428.2-4204,bzq,
821,J1428.7+4239,bzb,
822,J1429.9-5911,PSR,
823,J1433.9+4204,bzq,
824,J1436.9+2314,bzq,
825,J1437.0+5640,bzb,
826,J1438.7+3711,bzq,
827,J1439.2+3930,bzb,
828,J1440.9+0613,bzb,
829,J1441.7-1538,bzb,
830,J1441.8-6404,,
831,J1442.0-6000c,spp,
832,J1442.1+4348,bzb,
833,J1442.8+1158,bzb,
834,J1443.8+2457,bzq,
835,J1444.0-3906,bzb,
836,J1446.8-4702,,
837,J1447.9+3608,bzb,
838,J1451.0+5204,bzb,
839,J1454.6+5125,bzb,
840,J1457.5-3540,bzq,J1457.6-3538
841,J1459.4-6053,PSR,J1459.4-6056
842,J1501.1+2237,bzb,
843,J1501.6-4204,spp,
844,J1503.3+4759,bzb,
845,J1503.4-5805c,,
846,J1503.5-1544,bzb,
847,J1504.4+1029,BZQ,J1504.4+1030
848,J1505.0+0328,agn,
849,J1505.1-3435,agu,
850,J1505.8+3725,bzq,
851,J1508.2-1306,,
852,J1509.4+5602,bzb,
853,J1509.4-5850,PSR,J1509.5-5848
854,J1509.7-0843,,
855,J1510.8-5804c,,
856,J1511.1-0545,bzq,J1511.2-0536
857,J1511.8-0513,,
858,J1511.9-0211,,
859,J1511.9-2253,,
860,J1512.3+0201,bzq,
861,J1512.8-0906,BZQ,J1512.7-0905
862,J1513.2-5904,PSR,
863,J1514.1-4745,agu,
864,J1514.1-4945,,J1514.3-4946
865,J1514.7-5917,spp,
866,J1514.7+4447,bzq,
867,J1515.5+5448,,
868,J1516.9+1928,bzb,
869,J1517.8-2423,bzb,J1517.9-2423
870,J1517.8+6530,bzb,
871,J1518.0-5233,,
872,J1519.7+4216,bzq,
873,J1521.0-0350,,
874,J1521.8-5734c,spp,
875,J1522.1+3143,bzq,J1522.2+3143
