,3fgl,signif,ra,decl,lr_p,rf_p,blr,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl,4fgldr3,4fgldr3-cls1,4fgldr3-3fgl,4fgldr4,4fgldr4-cls1,4fgldr4-3fgl,4fgldr2_features,4fgldr2_labels,predict_lr_dr2,predict_nn_dr2,predict_dnn_dr2,predict_rf_dr2
71,J1901.5-0126,13.97,285.399,−1.4481,0.31,0.26,YNG/YNG,J1901.4-0126,PSR,J1901.5-0126,J1901.4-0126,PSR,J1901.5-0126,J1901.4-0126,MSP,J1901.5-0126,J1901.4-0126,MSP,J1901.5-0126,"[2.4126768112182617, 2.199791669845581, 1.43171226978302, 10.115819931030273, -30.314242470524906, -29.97504111006247, -27.11255612356419, -29.966245444622174, -22.649208783300228, 0.3199845552444458, 0.08677509427070618, 6.677030086517334, 24.57318687438965, 0.8985302256390336, -0.22214892284667337, -0.5268214605084428, -0.6605846918030958, -0.8733541585933833, -0.9999997914913462]",[0],PSR,PSR,PSR,PSR
72,J1624.1-4700,13.9,246.042,−47.0058,0.88,0.58,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
73,J0838.8-2829,13.74,129.704,−28.4892,0.6,0.57,MSP/MSP,J0838.7-2827,unk,J0838.8-2829,J0838.7-2827,bin,J0838.8-2829,J0838.7-2827,bin,J0838.8-2829,J0838.7-2827,bin,J0838.8-2829,,,NA,NA,NA,NA
74,J1852.8+0158,13.71,283.209,1.9722,0.98,0.78,YNG/YNG,,,,J1852.6+0203,,J1852.8+0158,J1852.6+0203,,J1852.8+0158,J1852.6+0203,,J1852.8+0158,,,NA,NA,NA,NA
75,J1317.6-6315,13.53,199.403,−63.2598,0.97,0.64,YNG/YNG,J1317.5-6316,,J1317.6-6315,J1317.5-6316,,J1317.6-6315,J1317.5-6316,,J1317.6-6315,J1317.5-6316,,J1317.6-6315,,,NA,NA,NA,NA
76,J1231.6-5113,13.45,187.902,−51.2210,0.99,0.39,YNG/MSP,J1231.6-5116,,J1231.6-5113,J1231.6-5116,,J1231.6-5113,J1231.6-5116,PSR,J1231.6-5113,J1231.6-5116,PSR,J1231.6-5113,,,NA,NA,NA,NA
77,J1641.5-5319,13.22,250.378,−53.3237,0.99,0.57,YNG/MSP,J1641.2-5317,PSR,J1641.5-5319,J1641.2-5317,PSR,J1641.5-5319,J1641.2-5317,PSR,J1641.5-5319,J1641.2-5317,PSR,J1641.5-5319,"[2.4796524047851562, 2.2626450061798096, 1.107479453086853, 7.1315226554870605, -29.916080482776408, -29.47289011071637, -27.331463612924978, -29.49151395760888, -22.863808913829864, 0.443678617477417, 0.0, 9.216285705566406, 27.322120666503906, 0.9978919752656751, -0.3166513573486563, -0.5827998220425827, -0.7904387809535036, -0.9996896968534381, 0.9836001148313941]",[0],PSR,PSR,PSR,PSR
78,J1120.6+0713,13.18,170.172,7.2235,0.11,0.45,MSP/MSP,J1120.6+0713,bcu,J1120.6+0713,J1120.6+0713,bcu,J1120.6+0713,J1120.6+0713,bcu,J1120.6+0713,J1120.6+0713,bcu,J1120.6+0713,"[2.137138605117798, 1.7992932796478271, 0.7410134673118591, 11.491512298583984, -30.974898715015062, -30.465450953386043, -28.31468446999795, -30.455536328444154, -23.381017125685556, 0.4003892242908478, 0.11929859220981598, 7.086433410644531, 23.590726852416992, -0.7981950209673764, 0.2533346656547342, -0.363182395631422, -0.5849965470630752, -0.9928113901590784, 0.49089310025996863]",[1],PSR,PSR,PSR,AGN
79,J1026.2-5730,13.14,156.56,−57.5166,0.96,0.85,YNG/YNG,J1026.2-5731,,J1026.2-5730,J1026.2-5731,,J1026.2-5730,J1026.2-5731,,J1026.2-5730,J1026.2-5731,,J1026.2-5730,,,NA,NA,NA,NA
80,J1843.7-0322,13.09,280.928,−3.3772,1.0,0.7,YNG/YNG,J1843.7-0326,,J1843.7-0322,J1843.7-0326,,J1843.7-0322,J1843.7-0326,,J1843.7-0322,J1843.7-0326,,J1843.7-0322,,,NA,NA,NA,NA
81,J0223.6+6204,12.88,35.906,62.0811,1.0,0.86,YNG/YNG,J0222.4+6156e,snr,J0223.6+6204,J0222.4+6156e,snr,J0223.6+6204,J0222.4+6156e,snr,J0223.6+6204,,,,,,NA,NA,NA,NA
82,J0737.2-3233,12.87,114.314,−32.5588,0.98,0.51,YNG/MSP,J0736.9-3231,,J0737.2-3233,J0736.9-3231,,J0737.2-3233,J0736.9-3231,,J0737.2-3233,J0736.9-3231,,J0737.2-3233,,,NA,NA,NA,NA
83,J1503.5-5801,12.8,225.893,−58.0294,0.92,0.51,YNG/YNG,J1503.7-5801,bcu,J1503.5-5801,J1503.7-5801,bcu,J1503.5-5801,J1503.7-5801,bcu,J1503.5-5801,J1503.7-5801,bcu,J1503.5-5801,"[2.5503687858581543, 2.4787464141845703, 1.6997195482254028, 2.712343454360962, -29.919963615158238, -29.530305561538587, -26.269100000174927, -29.5594475417854, -22.22507329699676, 0.28591978549957275, 0.0, 6.032717704772949, 22.49250030517578, 0.9253485782685572, -0.02612017428854306, -0.6142573542242337, -0.7545644259802111, -0.8724027060120196, -0.8121484257632576]",[1],PSR,PSR,PSR,AGN
84,J0318.1+0252,12.76,49.536,2.8695,0.88,0.82,MSP/MSP,J0318.2+0254,PSR,J0318.1+0252,J0318.2+0254,PSR,J0318.1+0252,J0318.2+0254,MSP,J0318.1+0252,J0318.2+0254,MSP,J0318.1+0252,"[2.1780030727386475, 2.053039312362671, 0.4903634190559387, 11.56810188293457, -31.39955677848079, -30.874788829879545, -28.476556176620953, -30.866655041833425, -23.299518520301415, 0.5628072023391724, 0.11071179807186127, 8.003689765930176, 23.955625534057617, -0.6644468391401664, -0.1803133443714643, -0.37203808836376895, -0.6498697911715625, -0.9999974253806764, -0.9999997125367293]",[0],PSR,PSR,PSR,PSR
85,J1740.5-2726,12.75,265.134,−27.4500,1.0,0.7,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
86,J2233.1+6542,12.69,338.279,65.7148,0.98,0.32,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
87,J1857.2+0059,12.39,284.31,0.9863,0.99,0.79,YNG/YNG,J1857.1+0056,,J1857.2+0059,J1857.1+0056,,J1857.2+0059,J1857.1+0056,,J1857.2+0059,J1857.1+0056,,J1857.2+0059,,,NA,NA,NA,NA
88,J2103.7-1113,12.33,315.942,−11.2291,0.3,0.42,MSP/MSP,J2103.7-1112,bcu,J2103.7-1113,J2103.7-1112,bcu,J2103.7-1113,J2103.7-1112,bcu,J2103.7-1113,J2103.7-1112,bcu,J2103.7-1113,"[2.1361420154571533, 1.7847602367401123, 0.8008642792701721, 14.599373817443848, -31.042988903378653, -30.489699992911625, -28.40778849064402, -30.558261729681035, -23.331827336791896, 0.46797242760658264, 0.12835240364074707, 7.781495094299316, 23.732921600341797, -0.7363548012907353, -0.0340722574518421, -0.21320873124927814, -0.6899964165205278, -0.8651605048141109, -0.9999525601131825]",[1],PSR,PSR,PSR,AGN
