,3fgl,3fgl_features,3fgl_labels,predict_lr_dr1,predict_nn_dr1,predict_dnn_dr1,predict_rf_dr1,predict_lr_dr2,predict_nn_dr2,predict_dnn_dr2,predict_rf_dr2,predict_lr_dr3,predict_nn_dr3,predict_dnn_dr3,predict_rf_dr3,predict_lr_dr4
44,J1857.9+0210,"[2.5917632579803467, 3.924296015793905, -26.664719703036013, -25.70164884321704, 1.854955030817234, -0.8615721595810409]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
45,J1740.5-2843,"[2.3976080417633057, 3.8377624924376876, -24.82487323422636, -25.825160373456278, 1.5691206815769076, -0.8292991629732832]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
46,J1748.3-2815c,"[2.271907091140747, 3.5281277475219808, -27.763781787000386, -26.406882380758024, 1.969410616362878, -0.171971967165686]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
47,J1754.0-2930,"[2.621753692626953, 4.08887825602846, -25.545805664009382, -26.19842236001607, 1.8983758764124554, -0.9010605055530199]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
48,J0238.0+5237,"[2.1331167221069336, 3.599507950020212, -26.74227473299464, -27.44062570111448, 1.5127925559418678, -0.8411139330703403]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
49,J1839.3-0552,"[2.5495450496673584, 3.6225887069928953, -26.650941412771296, -25.327443823813564, 2.1736642885131436, -0.7161647052702917]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
50,J2117.6+3725,"[2.0955615043640137, 3.9108540332617676, -25.61146718036515, -27.358089754757508, 1.4830652179244368, -0.8296449445980769]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
51,J0419.1+6636,"[2.311556339263916, 3.894950685229773, -27.136405937385955, -27.39703469586593, 0.8329333584082895, -0.8373237226286129]",[1],AGN,PSR,PSR,AGN,AGN,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
52,J2212.5+0703,"[2.0088932514190674, 4.0512638902863305, -26.87837739630031, -27.598738279620665, 1.4282167479112435, -0.806468426929508]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
53,J1447.3-5800,"[2.3891756534576416, 3.9458198687018244, -23.223479560549954, -26.522713415583524, 1.477083043010823, -0.902860294869221]",[1],AGN,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
54,J0426.7+5437,"[2.467036247253418, 3.948011339541394, -25.648123706869587, -26.641934777182566, 2.039327203692932, -0.8395136067592153]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
55,J0858.6-4357,"[2.54891037940979, 4.039888975283652, -25.364155200831753, -26.436317595045296, 2.101272739771982, -0.8213531180621685]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
56,J0953.7-1510,"[1.810007095336914, 3.6942313372156472, -27.76481095778751, -27.97639767739022, 1.7700756246610554, -0.46084143533046423]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
57,J1901.5-0126,"[2.6182117462158203, 4.1004259248574115, -25.079148333602944, -26.570886479973044, 0.4666081699455124, -0.8722968529624818]",[1],AGN,PSR,PSR,AGN,AGN,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
58,J1624.1-4700,"[2.5741312503814697, 3.924799918640528, -23.39703468928457, -26.51525915289036, 2.1012211857686856, -0.8675977368585576]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
59,J0838.8-2829,"[2.225034475326538, 3.759709410218777, -27.537451830286226, -27.4460114126322, 1.143984614174512, -0.819130866342854]",[1],AGN,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
60,J1852.8+0158,"[2.5472729206085205, 3.9984835792032394, -24.987896093973966, -25.7636564222563, 1.1869999430755278, -0.8824024608973374]",[1],AGN,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
61,J1317.6-6315,"[2.4874305725097656, 3.9226413272249196, -27.27675215879922, -26.404367985212485, 1.5766425042429315, -0.25101029298749056]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
62,J1231.6-5113,"[2.276258707046509, 3.8459516532039824, -24.863114845170376, -27.46062125294953, 1.725285363625425, -0.8952122717693243]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
63,J1641.5-5319,"[2.3803534507751465, 4.028969916890515, -25.861588095762958, -26.82398459219308, 1.7866555941415985, -0.8947236211835987]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
64,J1120.6+0713,"[2.0271332263946533, 4.248311683769417, -27.761686585196653, -27.89837101657046, 1.6817069411968548, -0.2996627321858357]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
65,J1026.2-5730,"[2.84201979637146, 3.920365490301421, -26.840829673112793, -25.992197425199265, 1.9840182854714765, -0.8571745815992152]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
66,J1843.7-0322,"[2.7336184978485107, 4.2573961803723135, -24.655312052470595, -25.75257687668458, 2.0726804317083323, -0.8871864042627424]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
67,J0223.6+6204,"[2.8026669025421143, 3.7322277957458816, -27.181793668596153, -25.87844195139143, 2.2167066979280814, -0.8497068211991221]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
68,J0737.2-3233,"[2.2528483867645264, 3.9383371678538652, -25.765077183260537, -27.212863841139374, 1.798460371879, -0.8555252677824259]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
