,4fgldr1,4fgldr1-cls1_x,4fgldr1-3fgl,4fgldr1_features,4fgldr1_labels,3fgl,3fgl-cls1,4fgldr1-cls1_y,4fgldr2,4fgldr2-cls1,4fgldr3,4fgldr3-cls1,4fgldr4,4fgldr4-cls1,predict_lr_dr1,predict_nn_dr1,predict_dnn_dr1,predict_rf_dr1
30,J0022.5+0608,bll,J0022.5+0608,"[2.16977858543396, 2.1405155658721924, 2.060084581375122, 48.994625091552734, -30.32962048876348, -30.116834383847216, -27.762486733440113, -30.211697618635533, -23.178679893959842, 0.032631900161504745, 0.258208692073822, 1.612537145614624, 41.94831085205078, -0.12532182300464675, -0.5219664635718746, -0.5937423324126913, -0.5556525527285932, -0.6658049836008638, -0.7050968228394341]",[1],J0022.5+0608,bll,bll,J0022.5+0608,bll,J0022.5+0608,bll,J0022.5+0608,bll,AGN,AGN,AGN,AGN
31,J0023.4+0920,PSR,J0023.4+0923,"[2.252911329269409, 1.8338984251022339, 0.910202145576477, 7.111878395080566, -30.076027954264802, -29.5794773953958, -28.03867138377978, -29.62448178035588, -23.158856370352986, 0.44762367010116577, 0.039543237537145615, 6.8837971687316895, 22.644386291503906, -0.6917360621580445, -0.10896154743188632, -0.49726211793077296, -0.7325199400041754, -0.8432815943972884, -0.9967110067510565]",[0],J0023.4+0923,PSR,PSR,J0023.4+0920,PSR,J0023.4+0920,MSP,J0023.4+0920,MSP,PSR,PSR,PSR,AGN
32,J0023.7-6820,bcu,J0021.6-6835,"[2.765263080596924, 2.731978178024292, 2.514667272567749, 29.871028900146484, -28.746494817509515, -28.451504215941487, -28.414181030123405, -28.53750954643032, -24.16920534276188, 0.11925610899925232, 0.461667001247406, 1.921751618385315, 12.622714042663574, 0.2793556002154786, -0.7428983369815946, -0.8138158527880002, -0.6500102827078141, -0.9999529725561418, 0.02919986101935083]",[1],J0021.6-6835,bcu,bcu,J0023.7-6820,fsrq,J0023.7-6820,fsrq,J0023.7-6820,fsrq,AGN,AGN,AGN,AGN
33,J0023.7+4457,fsrq,J0023.5+4454,"[2.441999673843384, 2.3874292373657227, 2.205169677734375, 30.200374603271484, -30.195032344074903, -29.938153733609273, -28.245482833688772, -29.996385826626405, -23.79924834554184, 0.09911969304084778, 0.5027517676353455, 1.9071073532104492, 13.386444091796875, 0.9996273473143974, -0.5648693092177833, -0.6899956138729421, -0.7477152144647953, -0.7791981610190796, -0.4930235555295206]",[1],J0023.5+4454,fsrq,fsrq,J0023.7+4457,fsrq,J0023.7+4457,fsrq,J0023.7+4457,fsrq,AGN,AGN,AGN,AGN
34,J0024.7+0349,fsrq,J0024.4+0350,"[2.388739585876465, 2.3421759605407715, 2.232740879058838, 84.85297393798828, -31.226237625753797, -30.938001851936836, -28.331677418494003, -31.071578731476393, -23.99883998887898, 0.10263875871896744, 1.8932132720947266, 0.9701172113418579, 6.0540289878845215, -0.5164664229443177, 0.9991273387324453, -0.7895208888681361, -0.5534950129768569, -0.7131285547744517, -0.9999999820089842]",[1],J0024.4+0350,fsrq,fsrq,J0024.7+0349,fsrq,J0024.7+0349,fsrq,J0024.7+0349,fsrq,AGN,AGN,AGN,AGN
35,J0026.6-4600,bll,J0026.7-4603,"[1.964956521987915, 2.0060956478118896, 1.896991491317749, 12.27151107788086, -33.172703789421156, -33.04361416919788, -28.570918732555793, -33.0939698274406, -24.094415503668166, -0.027233807370066643, 0.49288007616996765, 0.4596438705921173, 9.678033828735352, 0.9999200519723871, -0.7103343394085984, -0.5745878070490694, -0.33943447383578806, -0.7588201032201892, 0.2726582784967517]",[1],J0026.7-4603,bll,bll,J0026.6-4600,bll,J0026.6-4600,bll,J0026.6-4600,bll,AGN,AGN,AGN,AGN
36,J0028.1+7505,bcu,J0028.6+7507,"[2.187124729156494, 1.902226448059082, 0.9147071242332458, 6.557798862457275, -32.47801107490398, -31.915225182390373, -28.595794912040617, -31.986452200921093, -23.548912829112176, 0.44364309310913086, 0.0, 3.3273303508758545, 7.89897346496582, -0.6920501878142516, -0.8610816159855952, 0.27477534813241244, -0.5801831378674507, -0.6459674749047539, -0.9997455747294876]",[1],J0028.6+7507,bcu,bcu,J0028.1+7505,bcu,J0028.1+7505,bcu,J0028.1+7505,bcu,AGN,AGN,AGN,AGN
37,J0028.4+2001,fsrq,J0028.8+1951,"[2.4357516765594482, 2.4110891819000244, 2.316662549972534, 27.655412673950195, -29.97376960157342, -29.70747700194164, -28.206027831117183, -29.68686662505944, -23.720515534951225, 0.05410553142428398, 0.40015169978141785, 1.1233530044555664, 13.547593116760254, 0.9969330185620104, -0.6049153030544326, -0.7253793725771723, -0.5985736296063514, -0.9223827876145031, -0.20462554242887987]",[1],J0028.8+1951,bcu,fsrq,J0028.4+2001,fsrq,J0028.5+2001,fsrq,J0028.5+2001,fsrq,AGN,AGN,AGN,AGN
38,J0029.0-7044,bll,J0029.1-7045,"[2.223806858062744, 2.182741641998291, 1.9683183431625366, 25.41967010498047, -31.394519469356574, -31.190279466734175, -28.312669481415387, -31.20414328833164, -23.796337512799184, 0.04705528914928436, 0.3183009922504425, 1.1358839273452759, 18.739412307739258, 0.9593503265839609, -0.6546150891659868, -0.6180761676762155, -0.40751260256524413, -0.844484922730362, -0.9993676241754615]",[1],J0029.1-7045,bll,bll,J0029.0-7044,bll,J0029.0-7044,bll,J0029.0-7044,bll,AGN,AGN,AGN,AGN
39,J0030.2-1647,bll,J0030.2-1646,"[1.7404136657714844, 1.592258095741272, 1.299436092376709, 29.728193283081055, -33.568504343228724, -33.149492664830284, -28.167332778401683, -33.2677986647495, -23.909100913145853, 0.14545471966266632, 0.647475004196167, 2.385913610458374, 13.651061058044434, -0.8537146510552688, 0.9986129814667211, -0.023397574373779408, -0.3047525582793582, -0.45447761851611435, -0.3125328831243457]",[1],J0030.2-1646,bcu,bll,J0030.2-1647,bll,J0030.2-1647,bll,J0030.2-1647,bll,AGN,AGN,AGN,AGN
40,J0030.3-4224,fsrq,J0030.3-4223,"[2.5207369327545166, 2.499926805496216, 2.410677909851074, 71.91012573242188, -29.085410749555752, -28.8669773927164, -28.075278096750715, -28.94590181530727, -23.54225735456185, 0.06309153139591217, 0.3213171362876892, 2.645674228668213, 35.29620361328125, -0.32578542649446973, -0.6368262677498236, -0.7452880243888815, -0.7064763472928445, -0.938382919279685, 0.11213995436074306]",[1],J0030.3-4223,fsrq,fsrq,J0030.3-4224,fsrq,J0030.3-4224,fsrq,J0030.3-4224,fsrq,AGN,AGN,AGN,AGN
