,3fgl,3fgl_features,3fgl_labels
167,J0556.2+3933,"[3.093010187149048, 3.9641246506854206, -23.406599886148708, -27.371245407900265, 0.0007584794097450288, -0.9170336360818885]",[1]
168,J0557.7-0720,"[2.1480634212493896, 3.498306017995427, -30.8913687641135, -27.43493896958729, -1.0557090454640925, -0.7454422430886589]",[1]
169,J0559.8+3042,"[1.7110546827316284, 3.663447296486757, -32.61802270384116, -27.441078851289074, 0.7005455302186319, -0.18555923192203527]",[1]
170,J0600.4-1934,"[2.555969715118408, 3.764492186165759, -27.0620360084312, -27.676537771139337, 0.6203065076157634, -0.9256817867228169]",[1]
171,J0601.5+2309,"[2.4846689701080322, 3.8241905350415313, -27.36000836767398, -26.92899923443541, 0.43426675203882037, -0.8699836016898083]",[1]
172,J0603.3+2042,"[1.4998880624771118, 3.2159785654562865, -34.94793388053727, -27.106175239725825, 0.04860231810019447, -0.057130281010341566]",[1]
173,J0605.0-0000,"[2.0085489749908447, 3.9488381551314955, -30.258593242506358, -27.34574931234206, 0.22786252864764903, -0.6781852265131157]",[1]
174,J0605.9+2039c,"[2.358883857727051, 3.9233472693282754, -27.595475809401783, -26.64068118757692, 1.294494626922155, -0.7409271359825318]",[1]
175,J0608.2-2306,"[2.2004168033599854, 3.7472852321259884, -29.714983253576293, -27.882325062476323, 0.5008514922565118, -0.807034822360411]",[1]
176,J0608.6+5328,"[2.492543935775757, 3.610110933302173, -28.04111622754168, -27.61105751644348, -0.8669364298201231, -0.7329356652916632]",[1]
177,J0609.2+2051c,"[2.272536039352417, 3.5050940043909367, -29.66377740257003, -26.595666318625067, -0.6073137981430536, -0.7873684525379867]",[1]
178,J0609.6-2851,"[2.639155149459839, 3.879519627883569, -27.095275501981146, -27.899114605242843, -2.128182700111134, -0.8927946238069877]",[1]
179,J0609.7-1841,"[2.2983522415161133, 4.12388532781974, -28.084353202900957, -27.60840506326515, 0.7211960658690599, -0.8083049836050868]",[1]
180,J0611.5+1957,"[2.3820290565490723, 3.837672753044277, -27.66456352122793, -26.743238733104796, 1.2760669315092004, -0.8081593650708212]",[1]
181,J0619.4+2242,"[2.0148985385894775, 3.9451949386817624, -30.899002950506365, -26.391969677294394, -0.07975617456304285, -0.7787180493344759]",[1]
